dataset,DIGRAC,OURS_MFAS,OURS_MFAS_INS1,OURS_MFAS_INS2,OURS_MFAS_INS3,PageRank,SVD_NRS,SVD_RS,SpringRank,btl,btlDIGRAC,davidScore,eigenvectorCentrality,ib,mvr,rankCentrality,serialRank,syncRank
Basketball_temporal/1985,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1986,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1987,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1988,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1989,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1990,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1991,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1992,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1993,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1994,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1995,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1996,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1997,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1998,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/1999,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2000,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2001,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2002,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2003,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2004,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2005,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2006,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2007,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2008,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2009,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2010,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2011,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2012,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2013,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/2014,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1985,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1986,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1987,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1988,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1989,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1990,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1991,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1992,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1993,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1994,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1995,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1996,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1997,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1998,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer1999,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2000,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2001,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2002,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2003,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2004,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
