dataset,DIGRAC,OURS_MFAS,OURS_MFAS_INS1,OURS_MFAS_INS2,OURS_MFAS_INS3,PageRank,SVD_NRS,SVD_RS,SpringRank,btl,btlDIGRAC,davidScore,eigenvectorCentrality,ib,mvr,rankCentrality,serialRank,syncRank
Basketball_temporal/finer2005,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2006,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2007,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2008,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2009,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2010,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2011,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2012,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2013,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Basketball_temporal/finer2014,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
Dryad_animal_society,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
ERO/p5K5N350eta10styleuniform,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,TIMEOUT,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
FacultyHiringNetworks/Business/Business_FM_Full_,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
FacultyHiringNetworks/History/History_FM_Full_,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/England_2009_2010,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/England_2010_2011,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/England_2011_2012,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/England_2012_2013,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/England_2013_2014,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/England_2014_2015,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/finerEngland_2009_2010,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/finerEngland_2010_2011,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/finerEngland_2011_2012,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/finerEngland_2012_2013,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/finerEngland_2013_2014,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Football_data_England_Premier_League/finerEngland_2014_2015,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,TIMEOUT,SUCCESS,SUCCESS,SUCCESS
Halo2BetaData/HeadToHead,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,NOT_RUN,NOT_RUN,SUCCESS,SUCCESS,SUCCESS
finance,SUCCESS,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,SUCCESS,NOT_RUN,SUCCESS,SUCCESS,TIMEOUT
