baseline,metric,n,wilcoxon_p,bootstrap_mean_delta_CI_lo,bootstrap_mean_delta_CI_hi,bootstrap_median_delta_CI_lo,bootstrap_median_delta_CI_hi,effect_size_r,holm_p
SpringRank,upset_simple,77,0.016208762781505737,0.032324526013879036,0.1403044862600116,-0.12362796068191528,0.17073172330856323,0.3017322739434313,0.11244468817771303
SpringRank,upset_ratio,77,0.5043334687212768,-0.03093223134494181,0.020553217402375125,-0.10098809003829956,0.02794027328491211,0.13049653155595625,0.5043334687212768
SpringRank,upset_naive,77,0.01643528424336882,0.008081131503469757,0.0350761215650029,-0.030906990170478793,0.04268293082714081,0.30119715281900417,0.11244468817771303
SpringRank,runtime_sec,77,1.489697254442035e-12,1.6286965648694474,2.56072325132884,0.835290002822876,1.1935758352279666,0.8172043897642701,2.383515607107256e-11
davidScore,upset_simple,77,0.016063526882530432,0.009461229192939687,0.11475587505605316,-0.11761438846588135,0.20915037393569946,0.30405977024039543,0.11244468817771303
davidScore,upset_ratio,77,7.327471962526033e-14,-0.2261953373088852,-0.15775885912408305,-0.3277077227830887,-0.05872827768325806,0.8629557817616292,1.4654943925052066e-12
davidScore,upset_naive,77,0.017482269035264952,0.0021152985052435395,0.028580007696064644,-0.029403597116470392,0.05228759348392492,0.30076585437870923,0.11244468817771303
davidScore,runtime_sec,77,2.4646951146678475e-14,1.6884475042525826,2.6224697561852346,0.8935059309005738,1.2498881816864016,0.8789376801521149,5.915268275202834e-13
SVD_NRS,upset_simple,77,0.12181426768440518,-0.05008952511885723,0.062013842508003285,-0.20549023151397705,0.22805899381637607,0.21641039665248374,0.3654428030532155
SVD_NRS,upset_ratio,77,6.283862319378386e-14,-0.20227762128625595,-0.14091504093356338,-0.20825284719467163,-0.07242673635482788,0.8652267945837258,1.319611087069461e-12
SVD_NRS,upset_naive,77,0.12181426768440518,-0.012522381279714313,0.015503460627000821,-0.05137255787849429,0.057014748454093905,0.21641039665248374,0.3654428030532155
SVD_NRS,runtime_sec,77,2.4646951146678475e-14,1.686045394748836,2.620057170445268,0.8910528659820558,1.2472942829132083,0.8789376801521149,5.915268275202834e-13
btl,upset_simple,77,8.237854842718662e-14,-0.21838393261583594,-0.17439816105965675,-0.2286560833454132,-0.18633536100387604,0.8612209145649655,1.5651924201165457e-12
btl,upset_ratio,77,2.6645352591003757e-14,0.07090203801021829,0.0972809099990802,0.049251222610473655,0.11772947059944269,0.877803488832449,5.915268275202834e-13
btl,upset_naive,77,8.237854842718662e-14,-0.054595983153959,-0.04359954026491418,-0.0571640208363533,-0.0465838402509689,0.8612209145649655,1.5651924201165457e-12
btl,runtime_sec,77,3.637090628672013e-13,1.5225669359618965,2.4892698526614674,0.702762508392334,1.2175341129302981,0.8389208241032642,6.183054068742422e-12
DIGRAC,upset_simple,60,0.001434716912096734,-0.18587842869808271,-0.03620636938909692,-0.3130515122413634,0.14078263878822317,0.43672502443149114,0.012912452208870606
DIGRAC,upset_ratio,60,0.0009239298185665934,-0.07386881459779883,0.010925018559116848,-0.18828195273876186,0.12640064397826792,0.45209245683985017,0.010163228004232527
DIGRAC,upset_naive,60,0.001434716912096734,-0.04647043770576518,-0.00905344916197163,-0.0782628780603409,0.03519565969705579,0.43672502443149114,0.012912452208870606
DIGRAC,runtime_sec,60,1.6295409466238198e-11,-14.846363157202799,-14.141932091981172,-15.274098467826844,-13.596901845932006,0.8825142401589713,2.4443114199357296e-10
ib,upset_simple,60,9.505947140553417e-10,-0.3831375002920627,-0.25146948783298334,-0.5449533188343048,-0.1402504083812246,0.8039087881848557,1.14071365686641e-08
ib,upset_ratio,60,0.0009239298185665934,-0.18659827579333987,-0.08365682197247323,-0.3245862948894501,0.05468990668654439,0.45209245683985017,0.010163228004232527
ib,upset_naive,60,1.6295409466238198e-11,-0.4491783238589765,-0.4042074186207106,-0.4893679723143578,-0.3948242346942425,0.8825142401589713,2.4443114199357296e-10
ib,runtime_sec,60,1.6295409466238198e-11,-26.582921787559993,-16.54393242693941,-18.832704043388365,-7.056501936912536,0.8825142401589713,2.4443114199357296e-10
