method,dataset,status,runtime_sec,n,m,density
OURS_MFAS,finance,TIMEOUT,,1315,1729225,1.0
SpringRank,finance,SUCCESS,0.7344870328903198,1315,1729225,1.0
btl,finance,SUCCESS,0.2482619524002075,1315,1729225,1.0
SVD_NRS,finance,SUCCESS,0.2288562297821045,1315,1729225,1.0
SVD_RS,finance,SUCCESS,0.1997138023376465,1315,1729225,1.0
PageRank,finance,SUCCESS,0.0107720851898193,1315,1729225,1.0
davidScore,finance,SUCCESS,0.2125206708908081,1315,1729225,1.0
eigenvectorCentrality,finance,SUCCESS,0.065064263343811,1315,1729225,1.0
syncRank,finance,TIMEOUT,,1315,1729225,1.0
serialRank,finance,SUCCESS,3.748536658287049,1315,1729225,1.0
rankCentrality,finance,SUCCESS,0.397149658203125,1315,1729225,1.0
DIGRAC,finance,SUCCESS,912.7549774169922,1315,1729225,1.0
ib,finance,SUCCESS,1071.914281654358,1315,1729225,1.0
