baseline,n_common,ours_faster,ties,ours_slower,median_runtime_ours,median_runtime_baseline,median_paired_ratio,geomean_paired_ratio,bootstrap_95_CI_lo,bootstrap_95_CI_hi
SpringRank,77,14,0,63,1.0788014650344848,0.0579302787780761,17.862124642180902,13.395199035106018,26.322557979702353,40.13108593869734
btl,77,4,3,70,1.0788014650344848,0.0456903219223022,25.010262054052035,14.094906525849584,33.552045284029305,54.222764151553235
SVD_NRS,77,0,0,77,1.0788014650344848,0.0054040670394897,180.1148370465251,176.78941410169531,302.8647603618908,463.373517300017
SVD_RS,77,0,0,77,1.0788014650344848,0.0042825460433959,232.0245800471506,224.8428813825439,388.7173904688985,593.4223446777688
PageRank,77,0,0,77,1.0788014650344848,0.0016903162002563,536.4048922964846,712.0619695310976,1022.559436642918,1575.6943930134883
davidScore,77,0,0,77,1.0788014650344848,0.0027907609939575,337.1014565416964,352.8526798928502,565.884001528136,855.159713183174
eigenvectorCentrality,77,0,0,77,1.0788014650344848,0.0081827163696289,100.33921919920007,155.67430623630196,212.435652187025,324.89382399476403
syncRank,77,3,6,68,1.0788014650344848,0.3924108743667602,2.5651891684266,3.591986767002863,4.15838399114563,5.8780460174786375
serialRank,77,0,0,77,1.0788014650344848,0.0085554122924804,103.16074131989953,130.12799188052477,196.17558842720086,299.10706323280493
rankCentrality,77,0,0,77,1.0788014650344848,0.0184941053390502,55.31055638234787,63.509949797961745,80.76975207797773,116.0883512579806
DIGRAC,60,60,0,0,2.026812040805817,17.08358825445175,0.12281352512800348,0.11682985295130797,0.1271000653234477,0.1812343505585151
ib,60,60,0,0,2.026812040805817,13.263784956932067,0.12113201989784148,0.12156965353713109,0.11758029717160774,0.13428683606997965
