method,n_global_common,median_runtime,median_upset_simple
OURS_MFAS,60,2.026812040805817,0.8960190117359161
SpringRank,60,0.058990526199340754,0.7990602254867554
btl,60,0.047311544418334905,1.1551730930805206
SVD_NRS,60,0.005581188201904249,0.8966642618179321
SVD_RS,60,0.0043840646743774,0.9870696663856506
PageRank,60,0.0017490625381468999,1.0130732357501984
davidScore,60,0.0029119849205017,0.8158586621284485
eigenvectorCentrality,60,0.0088265419006347,1.049120932817459
syncRank,60,0.4061522245407104,1.7240110635757446
serialRank,60,0.00877611637115475,1.9741898775100708
rankCentrality,60,0.019862878322601252,1.9456936120986938
DIGRAC,60,17.08358825445175,1.0310180759429932
ib,60,13.263784956932067,1.2223189210891725
