method,intended,success,timeout,other_failure,not_run,coverage_fraction
DIGRAC,79,61,0,0,18,0.7721518987341772
OURS_MFAS,79,77,1,0,1,0.9746835443037974
OURS_MFAS_INS1,79,77,1,0,1,0.9746835443037974
OURS_MFAS_INS2,79,77,1,0,1,0.9746835443037974
OURS_MFAS_INS3,79,77,1,0,1,0.9746835443037974
PageRank,79,78,0,0,1,0.9873417721518988
SVD_NRS,79,78,0,0,1,0.9873417721518988
SVD_RS,79,78,0,0,1,0.9873417721518988
SpringRank,79,78,0,0,1,0.9873417721518988
btl,79,78,0,0,1,0.9873417721518988
btlDIGRAC,79,0,1,0,78,0.0
davidScore,79,78,0,0,1,0.9873417721518988
eigenvectorCentrality,79,78,0,0,1,0.9873417721518988
ib,79,61,0,0,18,0.7721518987341772
mvr,79,15,1,0,63,0.189873417721519
rankCentrality,79,78,0,0,1,0.9873417721518988
serialRank,79,78,0,0,1,0.9873417721518988
syncRank,79,77,1,0,1,0.9746835443037974
