baseline,metric,n_common,ours_wins,ties,ours_loses,mean_delta,median_delta,excluded_count,excluded_reason
SpringRank,upset_simple,77,41,0,36,0.08678907097934128,-0.07843136787414562,2,timeout/missing on either method
SpringRank,upset_ratio,77,44,0,33,-0.004945723128251052,-0.017549663782119806,2,timeout/missing on either method
SpringRank,upset_naive,77,41,0,36,0.021697267744835325,-0.019607841968536294,2,timeout/missing on either method
SpringRank,runtime_sec,77,14,0,63,2.0842589678702415,1.0146407604217529,2,timeout/missing on either method
btl,upset_simple,77,73,0,4,-0.19681649695743214,-0.207151973247528,2,timeout/missing on either method
btl,upset_ratio,77,1,0,76,0.08404230286984088,0.08223094940185549,2,timeout/missing on either method
btl,upset_naive,77,73,0,4,-0.04920412423935804,-0.051787993311882,2,timeout/missing on either method
btl,runtime_sec,77,4,3,70,1.993605015804241,0.8349316835403443,2,timeout/missing on either method
SVD_NRS,upset_simple,77,40,2,35,0.007051498355803557,-0.024844646453857422,2,timeout/missing on either method
SVD_NRS,upset_ratio,77,72,0,5,-0.1717335316461402,-0.09521853923797607,2,timeout/missing on either method
SVD_NRS,upset_naive,77,40,2,35,0.0017628745889508883,-0.0062111616134643,2,timeout/missing on either method
SVD_NRS,runtime_sec,77,0,0,77,2.1434044110310544,1.0726219415664673,2,timeout/missing on either method
SVD_RS,upset_simple,77,43,0,34,-0.1148917471820658,-0.17073172330856323,2,timeout/missing on either method
SVD_RS,upset_ratio,77,75,0,2,-0.196311540050166,-0.1588345170021057,2,timeout/missing on either method
SVD_RS,upset_naive,77,43,0,34,-0.02872293679551645,-0.04268293082714081,2,timeout/missing on either method
SVD_RS,runtime_sec,77,0,0,77,2.144428979886043,1.0750900983810425,2,timeout/missing on either method
PageRank,upset_simple,77,53,0,24,-0.12305109667313563,-0.17030733823776245,2,timeout/missing on either method
PageRank,upset_ratio,77,14,0,63,0.05676093226443831,0.029829442501068115,2,timeout/missing on either method
PageRank,upset_naive,77,53,0,24,-0.030762774168283914,-0.04257683455944061,2,timeout/missing on either method
PageRank,runtime_sec,77,0,0,77,2.146871402666166,1.072613024711609,2,timeout/missing on either method
davidScore,upset_simple,77,40,1,36,0.06279853624956948,-0.02424246072769165,2,timeout/missing on either method
davidScore,upset_ratio,77,74,0,3,-0.1923939660191536,-0.13085335493087769,2,timeout/missing on either method
davidScore,upset_naive,77,40,1,36,0.015565037582214777,-0.006060615181922913,2,timeout/missing on either method
davidScore,runtime_sec,77,0,0,77,2.1457729986735754,1.072488570213318,2,timeout/missing on either method
eigenvectorCentrality,upset_simple,77,59,0,18,-0.1345714509100109,-0.1761006116867066,2,timeout/missing on either method
eigenvectorCentrality,upset_ratio,77,47,0,30,-0.010154168410589552,-0.044320762157440186,2,timeout/missing on either method
eigenvectorCentrality,upset_naive,77,59,0,18,-0.03364286272750273,-0.04402515292167669,2,timeout/missing on either method
eigenvectorCentrality,runtime_sec,77,0,0,77,2.1411128716035326,1.0651965618133545,2,timeout/missing on either method
syncRank,upset_simple,77,77,0,0,-0.7925258755296856,-0.7199999690055847,2,timeout/missing on either method
syncRank,upset_ratio,77,47,0,30,-0.11234831382677735,-0.2041609287261963,2,timeout/missing on either method
syncRank,upset_naive,77,77,0,0,-0.19816289523785766,-0.1799999922513962,2,timeout/missing on either method
syncRank,runtime_sec,77,3,6,68,1.8004079701064468,0.6146958589553833,2,timeout/missing on either method
serialRank,upset_simple,77,75,0,2,-0.9483501729640094,-0.8581241369247437,2,timeout/missing on either method
serialRank,upset_ratio,77,47,0,30,-0.1120626853367725,-0.2009093999862671,2,timeout/missing on either method
serialRank,upset_naive,77,75,0,2,-0.2406240441872702,-0.2145310342311859,2,timeout/missing on either method
serialRank,runtime_sec,77,0,0,77,2.1400866626145008,1.0183402538299562,2,timeout/missing on either method
rankCentrality,upset_simple,77,77,0,0,-1.0472155304311157,-0.9872727036476135,2,timeout/missing on either method
rankCentrality,upset_ratio,77,77,0,0,-0.5965824202477158,-0.611771821975708,2,timeout/missing on either method
rankCentrality,upset_naive,77,77,0,0,-0.2669520393110715,-0.2539393872022629,2,timeout/missing on either method
rankCentrality,runtime_sec,77,0,0,77,2.1309061106149256,1.0197103261947633,2,timeout/missing on either method
DIGRAC,upset_simple,60,30,0,30,-0.1109432439804077,-0.07550368666648866,19,timeout/missing on either method
DIGRAC,upset_ratio,60,30,0,30,-0.03144560208575179,-0.02708648895379153,19,timeout/missing on either method
DIGRAC,upset_naive,60,30,0,30,-0.027737176155050614,-0.018875921666622164,19,timeout/missing on either method
DIGRAC,runtime_sec,60,60,0,0,-14.4950026679039,-14.578024673461915,19,timeout/missing on either method
ib,upset_simple,60,51,0,9,-0.3175665457646052,-0.407699276804924,19,timeout/missing on either method
ib,upset_ratio,60,30,0,30,-0.13493313023230682,-0.13363747763447464,19,timeout/missing on either method
ib,upset_naive,60,60,0,0,-0.4268745558460554,-0.4467803823947907,19,timeout/missing on either method
ib,runtime_sec,60,60,0,0,-21.386430042584735,-11.217687618732452,19,timeout/missing on either method
