method,intended,success,timeout,other_failure,coverage,median_runtime,mean_runtime,geomean_runtime,iqr_q1,iqr_q3,p90_runtime,p95_runtime
OURS_MFAS,79,77,1,0,0.9746835443037974,1.0788014650344848,2.1483796345723145,0.841559718176436,0.74574875831604,3.519717288017273,5.484454779624944,6.454739303588867
SpringRank,79,78,0,0,0.9873417721518988,0.058019745349883994,0.0727151072942293,0.06483748075816508,0.05731546282768245,0.06465905308723448,0.07307277441024772,0.10136318802833537
btl,79,78,0,0,0.9873417721518988,0.0457160353660583,0.15597317432745905,0.0608075063210852,0.032744014263153,0.1625032782554626,0.5441613507270813,0.7198736965656268
SVD_NRS,79,78,0,0,0.9873417721518988,0.00541108846664425,0.007845492852039776,0.005002555783082693,0.005181294679641675,0.0057738304138182745,0.00595848560333245,0.00607830762863155
SVD_RS,79,78,0,0,0.9873417721518988,0.00428447723388665,0.006460438630519718,0.003938668378512665,0.0038247227668761503,0.004557412862777674,0.0048051261901855,0.00488111138343805
PageRank,79,78,0,0,0.9873417721518988,0.0016905784606933,0.0016269992559383574,0.0012158259620533725,0.0014703571796417,0.001869839429855275,0.0020359182357787397,0.0022108983993529637
davidScore,79,78,0,0,0.9873417721518988,0.0027947902679442997,0.005297841475560071,0.0025263316389491507,0.002643829584121625,0.0031282067298888747,0.0033692812919616,0.003392251729965205
eigenvectorCentrality,79,78,0,0,0.9873417721518988,0.008207380771636949,0.008007756563333317,0.005581105575152434,0.00681852698326105,0.00956123471260065,0.01103601694107053,0.011498224735259984
syncRank,79,77,1,0,0.9746835443037974,0.3924108743667602,0.347971664465867,0.23428808978565074,0.3301613807678222,0.446724796295166,0.5300181150436403,0.5529431104660034
serialRank,79,78,0,0,0.9873417721518988,0.008592057228088298,0.05624481409023966,0.007016801328880096,0.007407295703887875,0.009872531890869075,0.01113437891006462,0.01136786460876464
rankCentrality,79,78,0,0,0.9873417721518988,0.0185568451881408,0.022341166704128897,0.013841251585302014,0.015536695718765176,0.0221153080463409,0.02732932567596429,0.029403727054595943
DIGRAC,79,61,0,0,0.7721518987341772,17.085911893844603,31.90378769694782,18.35000051490818,16.409049844741823,17.954324698448183,18.91216297149658,19.234759044647216
ib,79,61,0,0,0.7721518987341772,16.126571083068846,41.29140977429563,17.69262313604191,7.360089635848999,36.336753368377686,65.38368742465973,75.04694104194641
