dataset,method,config,upset_simple,upset_naive,upset_ratio,kendall_tau,runtime_sec,timeout_flag,seed,trial_id,source
Basketball_temporal/1985,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1.0517163228988649,0.2629290807247162,0.7617216604948044,,15.55303463935852,False,,,result_arrays
Basketball_temporal/1985,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1.038355008363724,0.2595887520909309,0.7589024394750595,,8.815457463264465,False,,,result_arrays
Basketball_temporal/1985,OURS_MFAS,trials10train_r100test_r100AllTrue,0.6227444410324097,0.1556861102581024,0.5563536882400513,,0.6767847776412964,False,,,result_arrays
Basketball_temporal/1985,OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,0.6227444410324097,0.1556861102581024,0.5562315583229065,,0.6738053798675537,False,,,result_arrays
Basketball_temporal/1985,OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,0.6227444410324097,0.1556861102581024,0.5563536882400513,,0.6761010646820068,False,,,result_arrays
Basketball_temporal/1985,OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,0.6227444410324097,0.1556861102581024,0.5563536882400513,,0.6797855615615844,False,,,result_arrays
Basketball_temporal/1985,PageRank,trials10train_r100test_r100AllTrue,0.909777581691742,0.2274443954229354,0.5539823174476624,,0.0021896839141845,False,,,result_arrays
Basketball_temporal/1985,SVD_NRS,trials10train_r100test_r100AllTrue,0.8644565939903259,0.2161141484975814,0.6278945207595825,,0.0054181098937988,False,,,result_arrays
Basketball_temporal/1985,SVD_RS,trials10train_r100test_r100AllTrue,0.9970625042915344,0.2492656260728836,0.6730403900146484,,0.0041609048843383,False,,,result_arrays
Basketball_temporal/1985,SpringRank,trials10train_r100test_r100AllTrue,0.7620646357536316,0.1905161589384079,0.6666542887687683,,0.0644466638565063,False,,,result_arrays
Basketball_temporal/1985,btl,trials10train_r100test_r100AllTrue,0.93411665558815,0.2335291638970375,0.538283160328865,,0.6334479570388794,False,,,result_arrays
Basketball_temporal/1985,davidScore,trials10train_r100test_r100AllTrue,0.7519932985305786,0.1879983246326446,0.6247237920761108,,0.0025603055953979,False,,,result_arrays
Basketball_temporal/1985,eigenvectorCentrality,trials10train_r100test_r100AllTrue,0.8929920196533203,0.22324800491333,0.6682972759008408,,0.008372950553894,False,,,result_arrays
Basketball_temporal/1985,ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1.2284431493282315,0.6499454486370086,0.9058669066429138,,6.447544574737549,False,,,result_arrays
Basketball_temporal/1985,ib,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1.130684013366699,0.7495090216398239,0.8791890120506287,,52.42961466312408,False,,,result_arrays
Basketball_temporal/1985,rankCentrality,trials10train_r100test_r100AllTrue,1.916911482810974,0.4792278707027435,1.316571593284607,,0.0134445905685424,False,,,result_arrays
Basketball_temporal/1985,serialRank,trials10train_r100test_r100AllTrue,2.108266830444336,0.527066707611084,0.861301988363266,,0.0075553178787231,False,,,result_arrays
Basketball_temporal/1985,syncRank,trials10train_r100test_r100AllTrue,1.6164498329162598,0.4041124582290649,0.8551191091537476,,0.3165663242340087,False,,,result_arrays
Basketball_temporal/1986,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,0.9425291168689728,0.2356322792172432,0.7511686789989471,,15.611209201812745,False,,,result_arrays
Basketball_temporal/1986,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,0.9359151315689088,0.2339850226044655,0.7390109610557556,,8.833134818077088,False,,,result_arrays
Basketball_temporal/1986,OURS_MFAS,trials10train_r100test_r100AllTrue,0.6156405806541443,0.153910145163536,0.5580135583877563,,0.711310863494873,False,,,result_arrays
Basketball_temporal/1986,OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,0.6156405806541443,0.153910145163536,0.557060956954956,,0.7084662437438964,False,,,result_arrays
Basketball_temporal/1986,OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,0.6156405806541443,0.153910145163536,0.5580135583877563,,0.7127738237380982,False,,,result_arrays
Basketball_temporal/1986,OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,0.6156405806541443,0.153910145163536,0.5580135583877563,,0.712147331237793,False,,,result_arrays
Basketball_temporal/1986,PageRank,trials10train_r100test_r100AllTrue,0.881863534450531,0.2204658836126327,0.5422442555427551,,0.0017054319381713,False,,,result_arrays
Basketball_temporal/1986,SVD_NRS,trials10train_r100test_r100AllTrue,0.8552412390708923,0.213810309767723,0.6304402947425842,,0.0050883531570434,False,,,result_arrays
Basketball_temporal/1986,SVD_RS,trials10train_r100test_r100AllTrue,1.0898503065109253,0.2724625766277313,0.7460463047027588,,0.0040073633193969,False,,,result_arrays
Basketball_temporal/1986,SpringRank,trials10train_r100test_r100AllTrue,0.7770382761955261,0.1942595690488815,0.6881914734840393,,0.0568585634231567,False,,,result_arrays
Basketball_temporal/1986,btl,trials10train_r100test_r100AllTrue,0.9582362651824952,0.2395590662956238,0.5405820965766907,,0.0287694454193115,False,,,result_arrays
Basketball_temporal/1986,davidScore,trials10train_r100test_r100AllTrue,0.7787021398544312,0.1946755349636078,0.6123399138450623,,0.002582311630249,False,,,result_arrays
Basketball_temporal/1986,eigenvectorCentrality,trials10train_r100test_r100AllTrue,0.8885191082954407,0.2221297770738601,0.7296837210655213,,0.0077791213989257,False,,,result_arrays
Basketball_temporal/1986,ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1.220823630094528,0.6367470920085907,0.8825998532772065,,6.5268442869186405,False,,,result_arrays
Basketball_temporal/1986,ib,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1.058352742195129,0.7728036612272262,0.8679859459400177,,55.33797132968903,False,,,result_arrays
Basketball_temporal/1986,rankCentrality,trials10train_r100test_r100AllTrue,1.9567387104034424,0.4891846776008606,1.3052687525749207,,0.0133543491363525,False,,,result_arrays
Basketball_temporal/1986,serialRank,trials10train_r100test_r100AllTrue,1.9933444261550903,0.4983361065387726,0.8560271501541138,,0.0075187683105468,False,,,result_arrays
Basketball_temporal/1986,syncRank,trials10train_r100test_r100AllTrue,1.7936772108078003,0.4484193027019501,0.8539006114006042,,0.3155959844589233,False,,,result_arrays
Basketball_temporal/1987,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1.1582995676994323,0.2895748919248581,0.7721369564533234,,15.926480722427367,False,,,result_arrays
Basketball_temporal/1987,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1.0242987728118895,0.2560746932029724,0.7598590052127838,,8.960313272476196,False,,,result_arrays
Basketball_temporal/1987,OURS_MFAS,trials10train_r100test_r100AllTrue,0.657926082611084,0.164481520652771,0.5757734775543213,,0.741205358505249,False,,,result_arrays
Basketball_temporal/1987,OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,0.657926082611084,0.164481520652771,0.5762763023376465,,0.733553123474121,False,,,result_arrays
Basketball_temporal/1987,OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,0.657926082611084,0.164481520652771,0.5757734775543213,,0.7397789716720581,False,,,result_arrays
Basketball_temporal/1987,OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,0.657926082611084,0.164481520652771,0.5757734775543213,,0.7425997734069825,False,,,result_arrays
Basketball_temporal/1987,PageRank,trials10train_r100test_r100AllTrue,0.8963051438331604,0.2240762859582901,0.5621384978294373,,0.0018330574035644,False,,,result_arrays
Basketball_temporal/1987,SVD_NRS,trials10train_r100test_r100AllTrue,0.9074294567108154,0.2268573641777038,0.6820970177650452,,0.0058151483535766,False,,,result_arrays
Basketball_temporal/1987,SVD_RS,trials10train_r100test_r100AllTrue,0.9916567206382751,0.2479141801595688,0.6965029835700989,,0.0044606208801269,False,,,result_arrays
Basketball_temporal/1987,SpringRank,trials10train_r100test_r100AllTrue,0.8216130137443542,0.2054032534360885,0.7095123529434204,,0.0571249485015869,False,,,result_arrays
Basketball_temporal/1987,btl,trials10train_r100test_r100AllTrue,0.9852999687194824,0.2463249921798706,0.566831648349762,,0.0296360492706298,False,,,result_arrays
Basketball_temporal/1987,davidScore,trials10train_r100test_r100AllTrue,0.8533968925476074,0.2133492231369018,0.6467505097389221,,0.0026512861251831,False,,,result_arrays
Basketball_temporal/1987,eigenvectorCentrality,trials10train_r100test_r100AllTrue,0.9932458996772766,0.2483114749193191,0.6955914497375488,,0.0078675508499145,False,,,result_arrays
Basketball_temporal/1987,ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1.19759237408638,0.6826698446273803,0.897996392250061,,6.568184161186219,False,,,result_arrays
Basketball_temporal/1987,ib,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1.1827731347084045,0.7059674197435379,0.8944793820381165,,56.65144917964936,False,,,result_arrays
Basketball_temporal/1987,rankCentrality,trials10train_r100test_r100AllTrue,1.9372268915176392,0.4843067228794098,1.3688971996307373,,0.0157302141189575,False,,,result_arrays
Basketball_temporal/1987,serialRank,trials10train_r100test_r100AllTrue,1.876837491989136,0.4692093729972839,0.8640559434890747,,0.0082815170288085,False,,,result_arrays
Basketball_temporal/1987,syncRank,trials10train_r100test_r100AllTrue,1.7862534523010254,0.4465633630752563,0.8627240061759949,,0.3294179677963257,False,,,result_arrays
Basketball_temporal/1988,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1.117207850217819,0.2793019625544548,0.7634221822023392,,15.788929796218872,False,,,result_arrays
Basketball_temporal/1988,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,0.9275058817863464,0.2318823528289794,0.761509724855423,,8.956792640686036,False,,,result_arrays
Basketball_temporal/1988,OURS_MFAS,trials10train_r100test_r100AllTrue,0.6258823275566101,0.1564705818891525,0.5681865811347961,,0.74574875831604,False,,,result_arrays
Basketball_temporal/1988,OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,0.6274510025978088,0.1568627506494522,0.5684707760810852,,0.7403527021408081,False,,,result_arrays
Basketball_temporal/1988,OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,0.6258823275566101,0.1564705818891525,0.5681069493293762,,0.7432194948196411,False,,,result_arrays
Basketball_temporal/1988,OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,0.6258823275566101,0.1564705818891525,0.5681865811347961,,0.7484074831008911,False,,,result_arrays
Basketball_temporal/1988,PageRank,trials10train_r100test_r100AllTrue,0.8470588326454163,0.211764708161354,0.5382040143013,,0.0014156579971313,False,,,result_arrays
Basketball_temporal/1988,SVD_NRS,trials10train_r100test_r100AllTrue,0.8313725590705872,0.2078431397676468,0.6301121115684509,,0.0052632093429565,False,,,result_arrays
Basketball_temporal/1988,SVD_RS,trials10train_r100test_r100AllTrue,0.9709804058074952,0.2427451014518737,0.7019487023353577,,0.0042527198791503,False,,,result_arrays
Basketball_temporal/1988,SpringRank,trials10train_r100test_r100AllTrue,0.7435294389724731,0.1858823597431183,0.6507934331893921,,0.0634405374526977,False,,,result_arrays
Basketball_temporal/1988,btl,trials10train_r100test_r100AllTrue,0.9174901962280272,0.2293725490570068,0.5311829090118408,,0.0293519496917724,False,,,result_arrays
Basketball_temporal/1988,davidScore,trials10train_r100test_r100AllTrue,0.7654901742935181,0.1913725435733795,0.5922070741653442,,0.0026245832443237,False,,,result_arrays
Basketball_temporal/1988,eigenvectorCentrality,trials10train_r100test_r100AllTrue,0.8737254738807678,0.2184313684701919,0.6615629345178604,,0.0081743001937866,False,,,result_arrays
Basketball_temporal/1988,ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1.2126353001594543,0.6619764709472656,0.9065721678733826,,9.22261173725128,False,,,result_arrays
Basketball_temporal/1988,ib,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1.1897098124027252,0.6831686300039291,0.9044357061386108,,53.49029922485352,False,,,result_arrays
Basketball_temporal/1988,rankCentrality,trials10train_r100test_r100AllTrue,1.930980443954468,0.4827451109886169,1.3316819667816162,,0.0186195850372314,False,,,result_arrays
Basketball_temporal/1988,serialRank,trials10train_r100test_r100AllTrue,1.9121568202972408,0.4780392050743103,0.8630649268627166,,0.0082235097885131,False,,,result_arrays
Basketball_temporal/1988,syncRank,trials10train_r100test_r100AllTrue,1.7289411544799804,0.4322352886199951,0.850886607170105,,0.3301613807678222,False,,,result_arrays
Basketball_temporal/1989,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,0.96578568816185,0.2414464220404625,0.768675964474678,,15.979950380325317,False,,,result_arrays
Basketball_temporal/1989,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,0.9454600536823272,0.2363650134205818,0.7615620195865631,,9.118800067901612,False,,,result_arrays
Basketball_temporal/1989,OURS_MFAS,trials10train_r100test_r100AllTrue,0.6300643682479858,0.1575160920619964,0.5666317939758301,,0.8101303100585937,False,,,result_arrays
Basketball_temporal/1989,OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,0.6315789222717285,0.1578947305679321,0.5674018859863281,,0.8040922403335571,False,,,result_arrays
Basketball_temporal/1989,OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,0.6300643682479858,0.1575160920619964,0.5666221976280212,,0.8073501586914062,False,,,result_arrays
Basketball_temporal/1989,OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,0.6300643682479858,0.1575160920619964,0.5666317939758301,,0.8110986709594726,False,,,result_arrays
Basketball_temporal/1989,PageRank,trials10train_r100test_r100AllTrue,0.8496781587600708,0.2124195396900177,0.553276002407074,,0.0019528627395629,False,,,result_arrays
Basketball_temporal/1989,SVD_NRS,trials10train_r100test_r100AllTrue,0.901173770427704,0.2252934426069259,0.6624101996421814,,0.0053756713867187,False,,,result_arrays
Basketball_temporal/1989,SVD_RS,trials10train_r100test_r100AllTrue,0.9814464449882508,0.2453616112470626,0.6994906067848206,,0.0043537378311157,False,,,result_arrays
Basketball_temporal/1989,SpringRank,trials10train_r100test_r100AllTrue,0.7482014298439026,0.1870503574609756,0.7104161977767944,,0.057374882698059,False,,,result_arrays
Basketball_temporal/1989,btl,trials10train_r100test_r100AllTrue,0.940552818775177,0.2351382046937942,0.5526136219501495,,0.0301017522811889,False,,,result_arrays
Basketball_temporal/1989,davidScore,trials10train_r100test_r100AllTrue,0.7694055438041687,0.1923513859510421,0.6253600716590881,,0.0026741743087768,False,,,result_arrays
Basketball_temporal/1989,eigenvectorCentrality,trials10train_r100test_r100AllTrue,0.8178720474243164,0.2044680118560791,0.6203619301319122,,0.0089085578918457,False,,,result_arrays
Basketball_temporal/1989,ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,1.1968042361736295,0.6616660326719284,0.9033406734466553,,6.892813897132873,False,,,result_arrays
Basketball_temporal/1989,ib,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,1.0974630749225616,0.7355547115206719,0.8810146021842956,,57.390401768684384,False,,,result_arrays
Basketball_temporal/1989,rankCentrality,trials10train_r100test_r100AllTrue,1.865959882736206,0.4664899706840515,1.3402143716812134,,0.0160148859024047,False,,,result_arrays
Basketball_temporal/1989,serialRank,trials10train_r100test_r100AllTrue,1.8614161014556885,0.4653540253639221,0.8656885862350464,,0.0089407920837402,False,,,result_arrays
Basketball_temporal/1989,syncRank,trials10train_r100test_r100AllTrue,1.7417644262313845,0.435441106557846,0.8661196231842041,,0.3380486726760864,False,,,result_arrays
Basketball_temporal/1990,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,0.863395084142685,0.2158487710356712,0.7572431790828705,,15.99616174697876,False,,,result_arrays
Basketball_temporal/1990,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,0.9263364863395692,0.2315841215848922,0.7511325287818909,,8.997538995742797,False,,,result_arrays
Basketball_temporal/1990,OURS_MFAS,trials10train_r100test_r100AllTrue,0.6003780961036682,0.150094524025917,0.5570091009140015,,0.8008340120315551,False,,,result_arrays
Basketball_temporal/1990,OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,0.6018903851509094,0.1504725962877273,0.5586115717887878,,0.795387578010559,False,,,result_arrays
Basketball_temporal/1990,OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,0.6003780961036682,0.150094524025917,0.5568931102752686,,0.7974489688873291,False,,,result_arrays
