dataset,best_classical_upset_simple,best_classical_upset_naive,best_classical_upset_ratio,best_classical_runtime_sec,best_classical_method,best_gnn_upset_simple,best_gnn_upset_naive,best_gnn_upset_ratio,best_gnn_runtime_sec,best_gnn_method,best_gnn_config
Basketball_temporal/1985,0.7519932985305786,0.1879983246326446,0.6247237920761108,0.0025603055953979,davidScore,1.038355008363724,0.2595887520909309,0.7589024394750595,8.815457463264465,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1986,0.7770382761955261,0.1942595690488815,0.6881914734840393,0.0568585634231567,SpringRank,0.9359151315689088,0.2339850226044655,0.7390109610557556,8.833134818077088,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1987,0.8216130137443542,0.2054032534360885,0.7095123529434204,0.0571249485015869,SpringRank,1.0242987728118895,0.2560746932029724,0.7598590052127838,8.960313272476196,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1988,0.7435294389724731,0.1858823597431183,0.6507934331893921,0.0634405374526977,SpringRank,0.9275058817863464,0.2318823528289794,0.761509724855423,8.956792640686036,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1989,0.7482014298439026,0.1870503574609756,0.7104161977767944,0.057374882698059,SpringRank,0.9454600536823272,0.2363650134205818,0.7615620195865631,9.118800067901612,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1990,0.7500945329666138,0.1875236332416534,0.6739517450332642,0.0574763059616088,SpringRank,0.863395084142685,0.2158487710356712,0.7572431790828705,15.99616174697876,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue
Basketball_temporal/1991,0.7657992839813232,0.1914498209953308,0.6422716975212097,0.0026991367340087,davidScore,0.9129219388961792,0.2282304847240448,0.7535596698522568,9.204916501045227,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1992,0.7197334170341492,0.1799333542585373,0.5937338471412659,0.0027718305587768,davidScore,0.8977415788173676,0.2244353947043419,0.7417025828361511,9.180338668823245,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1993,0.7423649430274963,0.185591235756874,0.5986699461936951,0.0026945352554321,davidScore,0.9493500447273254,0.2373375111818313,0.7510255700349808,9.197834587097168,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1994,0.7378939390182495,0.1844734847545623,0.5863926410675049,0.0027323961257934,davidScore,0.8861644876003265,0.2215526509284973,0.7321634334325791,9.291334009170532,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1995,0.7694633603096008,0.1923658400774002,0.666222333908081,0.0573991298675537,SpringRank,0.8902796685695649,0.2225699171423912,0.7408524096012116,9.300449776649476,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
Basketball_temporal/1996,0.8102752566337585,0.2025688141584396,0.647814154624939,0.0027841329574584,davidScore,1.0220403671264648,0.2555155962705612,0.7666598212718964,9.35993869304657,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue
