dataset,method,config,which,upset_simple_mean,upset_simple_std,upset_ratio_mean,upset_ratio_std,upset_naive_mean,upset_naive_std,runtime_sec_mean,runtime_sec_std,num_runs,num_nans
Basketball_temporal/1985,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,upset,1.0517163228988649,0.32855814028077607,0.7617216604948044,0.1648605065250088,0.2629290807247162,0.08213953507019402,15.55303463935852,0.2735244530565605,50,0
Basketball_temporal/1985,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,upset,1.0383550083637239,0.4568215338488185,0.7589024394750595,0.14345251499689293,0.25958875209093096,0.11420538346220463,8.815457463264465,0.15349988424735272,50,0
Basketball_temporal/1985,OURS_MFAS,trials10train_r100test_r100AllTrue,upset,0.6227444410324097,0.0,0.5563536882400513,0.0,0.15568611025810242,0.0,0.6767847776412964,0.0020635789093995925,10,0
Basketball_temporal/1985,OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,upset,0.6227444410324097,0.0,0.5562315583229065,0.0,0.15568611025810242,0.0,0.6738053798675537,0.001594900542982702,10,0
Basketball_temporal/1985,OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,upset,0.6227444410324097,0.0,0.5563536882400513,0.0,0.15568611025810242,0.0,0.6761010646820068,0.0020548160454919922,10,0
Basketball_temporal/1985,OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,upset,0.6227444410324097,0.0,0.5563536882400513,0.0,0.15568611025810242,0.0,0.6797855615615844,0.002310303800202433,10,0
Basketball_temporal/1985,PageRank,trials10train_r100test_r100AllTrue,upset,0.9097775816917419,0.0,0.5539823174476624,0.0,0.22744439542293549,0.0,0.0021896839141845705,0.0002736154147032199,10,0
Basketball_temporal/1985,SVD_NRS,trials10train_r100test_r100AllTrue,upset,0.8644565939903259,0.0,0.6278945207595825,0.0,0.21611414849758148,0.0,0.005418109893798828,0.0007619303929654453,10,0
Basketball_temporal/1985,SVD_RS,trials10train_r100test_r100AllTrue,upset,0.9970625042915344,0.0,0.6730403900146484,0.0,0.2492656260728836,0.0,0.0041609048843383786,0.000706195649788374,10,0
Basketball_temporal/1985,SpringRank,trials10train_r100test_r100AllTrue,upset,0.7620646357536316,0.0,0.6666542887687683,0.0,0.1905161589384079,0.0,0.06444666385650635,0.18111327023284937,10,0
Basketball_temporal/1985,btl,trials10train_r100test_r100AllTrue,upset,0.93411665558815,0.07736397416021241,0.538283160328865,0.03811037243451057,0.2335291638970375,0.019340993540053104,0.6334479570388794,1.8127753412758967,10,0
Basketball_temporal/1985,davidScore,trials10train_r100test_r100AllTrue,upset,0.7519932985305786,0.0,0.6247237920761108,0.0,0.18799832463264465,0.0,0.0025603055953979494,0.00035946586762819916,10,0
Basketball_temporal/1985,eigenvectorCentrality,trials10train_r100test_r100AllTrue,upset,0.8929920196533203,0.0,0.6682972759008408,0.16970939934253693,0.22324800491333008,0.0,0.008372950553894042,0.00037493401395422845,10,0
Basketball_temporal/1985,ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,upset,1.2284431493282317,0.3864624222239868,0.9058669066429138,0.13477882603237945,0.6499454486370086,0.2838146186390932,6.447544574737549,0.1675864878848835,50,0
Basketball_temporal/1985,ib,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,upset,1.1306840133666993,0.2783562477142101,0.8791890120506287,0.07987434847985746,0.7495090216398239,0.29913326009325725,52.429614663124084,7.379194736401223,50,0
Basketball_temporal/1985,rankCentrality,trials10train_r100test_r100AllTrue,upset,1.9169114828109741,0.0,1.316571593284607,0.0,0.47922787070274353,0.0,0.01344459056854248,0.001027281549854442,10,0
Basketball_temporal/1985,serialRank,trials10train_r100test_r100AllTrue,upset,2.108266830444336,0.0,0.861301988363266,0.0014490783214569092,0.527066707611084,0.0,0.007555317878723144,0.0004176773975999453,10,0
Basketball_temporal/1985,syncRank,trials10train_r100test_r100AllTrue,upset,1.6164498329162598,0.0,0.8551191091537476,0.0,0.40411245822906494,0.0,0.31656632423400877,0.001973344531667884,10,0
Basketball_temporal/1985,DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,upset_latest,1.168946703672409,0.39660548039569793,0.7640754508972168,0.1647365323181995,0.29223667591810226,0.09915137009892448,15.55303463935852,0.2735244530565605,50,0
Basketball_temporal/1985,DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,upset_latest,1.0444985270500182,0.4087274712171333,0.760693964958191,0.12682328238437546,0.26112463176250456,0.10218186780428333,8.815457463264465,0.15349988424735272,50,0
Basketball_temporal/1985,OURS_MFAS,trials10train_r100test_r100AllTrue,upset_latest,0.6227444410324097,0.0,0.5563536882400513,0.0,0.15568611025810242,0.0,0.6767847776412964,0.0020635789093995925,10,0
Basketball_temporal/1985,OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,upset_latest,0.6227444410324097,0.0,0.5562315583229065,0.0,0.15568611025810242,0.0,0.6738053798675537,0.001594900542982702,10,0
Basketball_temporal/1985,OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,upset_latest,0.6227444410324097,0.0,0.5563536882400513,0.0,0.15568611025810242,0.0,0.6761010646820068,0.0020548160454919922,10,0
Basketball_temporal/1985,OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,upset_latest,0.6227444410324097,0.0,0.5563536882400513,0.0,0.15568611025810242,0.0,0.6797855615615844,0.002310303800202433,10,0
Basketball_temporal/1985,PageRank,trials10train_r100test_r100AllTrue,upset_latest,0.9097775816917419,0.0,0.5539823174476624,0.0,0.22744439542293549,0.0,0.0021896839141845705,0.0002736154147032199,10,0
Basketball_temporal/1985,SVD_NRS,trials10train_r100test_r100AllTrue,upset_latest,0.8644565939903259,0.0,0.6278945207595825,0.0,0.21611414849758148,0.0,0.005418109893798828,0.0007619303929654453,10,0
Basketball_temporal/1985,SVD_RS,trials10train_r100test_r100AllTrue,upset_latest,0.9970625042915344,0.0,0.6730403900146484,0.0,0.2492656260728836,0.0,0.0041609048843383786,0.000706195649788374,10,0
Basketball_temporal/1985,SpringRank,trials10train_r100test_r100AllTrue,upset_latest,0.7620646357536316,0.0,0.6666542887687683,0.0,0.1905161589384079,0.0,0.06444666385650635,0.18111327023284937,10,0
Basketball_temporal/1985,btl,trials10train_r100test_r100AllTrue,upset_latest,0.93411665558815,0.07736397416021241,0.538283160328865,0.03811037243451057,0.2335291638970375,0.019340993540053104,0.6334479570388794,1.8127753412758967,10,0
Basketball_temporal/1985,davidScore,trials10train_r100test_r100AllTrue,upset_latest,0.7519932985305786,0.0,0.6247237920761108,0.0,0.18799832463264465,0.0,0.0025603055953979494,0.00035946586762819916,10,0
Basketball_temporal/1985,eigenvectorCentrality,trials10train_r100test_r100AllTrue,upset_latest,0.8929920196533203,0.0,0.6682972759008408,0.16970939934253693,0.22324800491333008,0.0,0.008372950553894042,0.00037493401395422845,10,0
Basketball_temporal/1985,ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,upset_latest,1.113831309080124,0.26995766793033216,0.8833969759941102,0.08582176444866683,0.7316491836309433,0.29493323503712393,6.447544574737549,0.1675864878848835,50,0
