dataset,method,config,which,n,upset_simple_mean,upset_simple_std,upset_ratio_mean,upset_ratio_std,upset_naive_mean,upset_naive_std,source_file
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withdistFiedler5sigma100alpha100hid4lr10useSpringRanktrials10train_r100test_r100AllTrue,upset,100,0.8618238711357117,0.4116816381203891,0.7462262192368507,0.171493724471895,0.35654087975621224,0.23437390619466925,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withdistFiedler5sigma100alpha100hid4lr10useSpringRanktrials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withinnerproductFiedler5sigma100alpha100hid4lr10useSpringRanktrials10train_r100test_r100AllTrue,upset,100,0.8990565693378448,0.38986340931286184,0.7134083089232445,0.14735669516800268,0.3866037727892399,0.2389249347761329,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withinnerproductFiedler5sigma100alpha100hid4lr10useSpringRanktrials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usePageRankpredist50trials10train_r100test_r100AllTrue,upset,100,1.0566666370630264,0.4925106387223603,0.7964206737279892,0.1550114879638353,0.42893081679940226,0.23946328969609296,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usePageRankpredist50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usePageRankpreinnerproduct50trials10train_r100test_r100AllTrue,upset,100,0.9083647522330284,0.4050297316163825,0.7668082520365715,0.1630874138261142,0.4217610046267509,0.2943635660332085,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usePageRankpreinnerproduct50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usePageRankpreserial_similarity50trials10train_r100test_r100AllTrue,upset,100,0.9640251252055169,0.40376286669656125,0.7770815244317055,0.13129704114094884,0.4261006270349026,0.2537256465109616,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usePageRankpreserial_similarity50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSVD_NRSpredist50trials10train_r100test_r100AllTrue,upset,100,0.991949651837349,0.4070130623552292,0.7754163178801536,0.15489471209064942,0.41647798508405687,0.23324699181676306,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSVD_NRSpredist50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSVD_NRSpreinnerproduct50trials10train_r100test_r100AllTrue,upset,100,0.8983647480607033,0.44639797151300864,0.7465195658802987,0.15892337358086464,0.42628930740058424,0.30861806086986604,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSVD_NRSpreinnerproduct50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSVD_NRSpreserial_similarity50trials10train_r100test_r100AllTrue,upset,100,0.9540880215168,0.4567003357002142,0.7636620080471039,0.14396935717962198,0.41597484305500987,0.2576376043512734,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSVD_NRSpreserial_similarity50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,upset,100,1.009622604250908,0.4168045887342379,0.7605832880735397,0.14264958586021106,0.4016981133818626,0.23421007494128643,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSpringRankpredist50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSpringRankpreinnerproduct50trials10train_r100test_r100AllTrue,upset,100,0.8931446233391762,0.4364920129462995,0.7515146937966347,0.15502923481323616,0.44880503103137015,0.3283759987180297,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSpringRankpreinnerproduct50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSpringRankpreserial_similarity50trials10train_r100test_r100AllTrue,upset,100,0.978364746272564,0.4657064361052727,0.7624397125840187,0.14184456170899998,0.4230817595869303,0.25685006710285063,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useSpringRankpreserial_similarity50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usebtlpredist50trials10train_r100test_r100AllTrue,upset,100,0.9933961969614029,0.42318432472245576,0.7781560185551644,0.1499405167835292,0.3788679240643978,0.21229767928275245,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usebtlpredist50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usebtlpreinnerproduct50trials10train_r100test_r100AllTrue,upset,100,0.9122012275457382,0.4336795247169003,0.7565480095148086,0.14680234781047308,0.42974842675030234,0.3052784479797831,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usebtlpreinnerproduct50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usebtlpreserial_similarity50trials10train_r100test_r100AllTrue,upset,100,0.8921383336186409,0.3961588845676082,0.7552890741825103,0.14293618152021462,0.3593081746995449,0.2305143449564532,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10usebtlpreserial_similarity50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useeigenvectorCentralitypredist50trials10train_r100test_r100AllTrue,upset,100,1.0447169452905656,0.46221312428840466,0.7755720046162605,0.13023063967007406,0.4322641484439373,0.23068793504886834,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useeigenvectorCentralitypredist50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useeigenvectorCentralitypreinnerproduct50trials10train_r100test_r100AllTrue,upset,100,0.8798741868138313,0.41623960127877996,0.7714487305283546,0.1555509022307888,0.4474213817715645,0.342759815672312,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useeigenvectorCentralitypreinnerproduct50trials10train_r100test_r100AllTrue.npy
Dryad_animal_society,DIGRACib,K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useeigenvectorCentralitypreserial_similarity50trials10train_r100test_r100AllTrue,upset,100,0.9562263822555542,0.39183238651285757,0.7793255949020386,0.1389180484478114,0.4188679225742817,0.25110805850378554,result_arrays/Dryad_animal_society/upset/DIGRACib/K3dropout50ratio_coe0margin_coe100margin1withproximal_baselineFiedler3sigma100alpha100train_alphaTruehid4lr10useeigenvectorCentralitypreserial_similarity50trials10train_r100test_r100AllTrue.npy
