dataset,method,which,n,upset_simple_mean,upset_simple_std,upset_ratio_mean,upset_ratio_std,upset_naive_mean,upset_naive_std,runtime_sec_mean,runtime_sec_std,timeout_count,error_count
Dryad_animal_society,DIGRACib,upset,35700,0.9089704259729185,0.42043890007386736,0.7356993546130276,0.15435747521509993,0.39577400671730356,0.261312330017643,,,0,0
Dryad_animal_society,DIGRACib,upset_latest,35700,0.8804957159226682,0.40050514567621975,0.7321447883855228,0.16104644132018245,0.39526029194290396,0.27271968125279694,,,0,0
Dryad_animal_society,OURS_MFAS_INS3,upset,1,0.37735849618911743,0.0,0.39909568428993225,0.0,0.09433962404727936,0.0,,,0,0
Dryad_animal_society,OURS_MFAS_INS3,upset_latest,1,0.37735849618911743,0.0,0.39909568428993225,0.0,0.09433962404727936,0.0,,,0,0
Dryad_animal_society,SpringRank,upset,1,0.5031446814537048,0.0,0.416645348072052,0.0,0.1257861703634262,0.0,,,0,0
Dryad_animal_society,SpringRank,upset_latest,1,0.5031446814537048,0.0,0.416645348072052,0.0,0.1257861703634262,0.0,,,0,0
Dryad_animal_society,SpringRanksyncRankserialRankbtldavidScoreeigenvectorCentralityPageRankrankCentralitySVD_RSSVD_NRS,upset,100,0.9584276795387268,0.6405171074891621,0.6024088968336582,0.3098741069765458,0.24805031672120095,0.1742293210849809,,,0,0
Dryad_animal_society,SpringRanksyncRankserialRankbtldavidScoreeigenvectorCentralityPageRankrankCentralitySVD_RSSVD_NRS,upset_latest,100,0.9584276795387268,0.6405171074891621,0.6024088968336582,0.3098741069765458,0.24805031672120095,0.1742293210849809,,,0,0
Dryad_animal_society,mvr,upset,10,2.0176100850105287,0.31797786329322814,nan,nan,0.5044025212526322,0.07949446582330703,,,0,0
Dryad_animal_society,mvr,upset_latest,10,2.0176100850105287,0.31797786329322814,nan,nan,0.5044025212526322,0.07949446582330703,,,0,0
finance,DIGRACib,upset,7300,1.5318529200227293,0.376307627183278,0.2796133767170449,0.03950023177160981,0.622160182195167,0.2584506542924128,,,0,0
finance,DIGRACib,upset_latest,7300,1.5137194640669105,0.3770749729864107,0.27847751867281245,0.033028781015629255,0.6298228520481554,0.26292697716680064,,,0,0
finance,SpringRanksyncRankserialRankbtldavidScoreeigenvectorCentralityPageRankrankCentralitySVD_RSSVD_NRS,upset,100,1.7289518654346465,0.11840607453662072,0.33555108308792114,0.1381153051899521,0.43223796635866163,0.02960151863415518,,,0,0
finance,SpringRanksyncRankserialRankbtldavidScoreeigenvectorCentralityPageRankrankCentralitySVD_RSSVD_NRS,upset_latest,100,1.7289518654346465,0.11840607453662072,0.33555108308792114,0.1381153051899521,0.43223796635866163,0.02960151863415518,,,0,0
