config,n_datasets,median_upset_simple,mean_upset_simple,median_upset_ratio,mean_upset_ratio,median_upset_naive,mean_upset_naive,median_removed_final_weight,mean_removed_final_weight,median_normalized_removed_weight,median_restored_edge_count,median_mincut_attempts,median_mincut_accepted,median_mincut_gain,median_runtime_total_sec,mean_runtime_total_sec,median_runtime_phaseA_sec,median_runtime_phaseB_sec,median_runtime_phaseC_sec,median_runtime_mincut_sec,median_permutation_distance_vs_p1
A0,77,0.2062043795620438,0.2852982484658717,0.4506010196832501,0.3498192111593268,7285.0,120842.92987012987,11341.0,222388.54415584414,0.3448905109489051,0.0,0.0,0.0,0.0,0.17493844032287598,0.17369378387153922,0.1459054946899414,1.9073486328125e-06,0.0005125999450683594,0.0,0.0
A1,33,0.15384615384615385,0.25552065804425267,0.4590799850273461,0.3759517155168097,6382.0,93588.98181818183,6382.0,93589.34545454546,0.15384615384615385,385.0,0.0,0.0,0.0,0.2994077205657959,0.2761590697548606,0.13198637962341309,0.004885435104370117,0.0012400150299072266,0.0,0.019240724762726487
A2,77,0.21052631578947367,0.2727966566006058,0.4459050280269133,0.3410284465032604,5988.0,118788.63116883117,5947.0,118697.5922077922,0.18065693430656934,522.0,0.0,0.0,0.0,0.4140172004699707,0.4265595720959948,0.14830374717712402,0.08876323699951172,0.0013675689697265625,0.0,0.12723354133774403
A3,33,0.13595706618962433,0.25209486303084516,0.42273712990585677,0.3462379093034183,6265.0,93548.8303030303,6382.0,93589.34545454546,0.15384615384615385,385.0,0.0,0.0,0.0,0.4143352508544922,0.37836376825968426,0.13135480880737305,0.004890918731689453,0.11369585990905762,0.0,0.021052631578947368
A4,77,0.21052631578947367,0.27238295236613674,0.3807925017458761,0.3178153304065674,5988.0,118721.99480519483,5947.0,118697.5922077922,0.18065693430656934,522.0,0.0,0.0,0.0,0.5686798095703125,0.5420216863805597,0.15509939193725586,0.09016299247741699,0.1245267391204834,0.0,0.12723354133774403
A5,33,0.13595706618962433,0.2479748851461313,0.46450072260645925,0.3667411401586495,5793.0,91991.95151515151,5250.0,91781.1696969697,0.13595706618962433,445.0,27.0,10.0,47.0,3.0460762977600098,5.120467453291922,0.13068819046020508,0.06049489974975586,0.0013325214385986328,2.759584426879883,0.11578947368421053
A6,77,0.19789473684210526,0.2717622748647624,0.4290569441685285,0.3392078211385798,5925.0,118665.90389610392,5903.0,118577.93246753248,0.18065693430656934,521.0,17.0,10.0,57.0,4.141282558441162,6.013711399846263,0.14460229873657227,0.08723759651184082,0.12008380889892578,3.523216485977173,0.12959818902093945
