comparison,config_a,config_b,metric,orientation,n_common,excluded_timeout_pairs,wins_b,ties,losses_b,mean_delta_b_minus_a,median_delta_b_minus_a,bootstrap_ci95_lo,bootstrap_ci95_hi,wilcoxon_p,effect_size_cliff,ci_excludes_zero,holm_adjusted_p,is_primary_comparison
R2_A4_vs_R1_A4,R2_A4,R1_A4,permutation_distance_vs_p1,higher_better,33,0,1,30,2,-0.0001600209115395469,0.0,-0.00047970315572425494,3.350233586679909e-07,nan,-0.3333333333333333,false,,false
R2_A4_vs_R3_A4,R2_A4,R3_A4,upset_simple,lower_better,33,0,1,32,0,-2.660494319844605e-05,0.0,-7.981482959533815e-05,0.0,nan,1.0,false,,false
R2_A4_vs_R3_A4,R2_A4,R3_A4,upset_ratio,lower_better,33,0,32,0,1,-0.006181001495067014,-0.005049176104376607,-0.00833853025470545,-0.0042131479364902955,4.656612873077393e-10,0.9393939393939394,true,,false
R2_A4_vs_R3_A4,R2_A4,R3_A4,runtime_total_sec,lower_better,33,0,0,0,33,0.06729625210617528,0.07301974296569824,0.05345647732416789,0.08216396497957631,2.3283064365386963e-10,-1.0,true,,false
R2_A4_vs_R3_A4,R2_A4,R3_A4,permutation_distance_vs_p1,higher_better,33,0,1,32,0,0.00015948963317384334,0.0,0.0,0.0004784688995215301,nan,1.0,false,,false
K20_A5_vs_K50_A5,K20_A5,K50_A5,mincut_attempts,higher_better,33,0,17,16,0,14.181818181818182,7.0,9.150757575757577,19.060606060606062,0.0001326859432953736,1.0,true,,false
K20_A5_vs_K50_A5,K20_A5,K50_A5,mincut_accepted,higher_better,33,0,8,25,0,0.45454545454545453,0.0,0.15151515151515152,0.7878787878787878,0.0078125,1.0,true,,false
K20_A5_vs_K50_A5,K20_A5,K50_A5,mincut_gain,higher_better,33,0,8,25,0,2.2969696969696973,0.0,0.6060606060606061,4.35833333333333,0.0078125,1.0,true,,false
K20_A5_vs_K50_A5,K20_A5,K50_A5,upset_simple,lower_better,33,0,7,26,0,-0.0001303717591285781,0.0,-0.0002677859988518654,-2.7571080251343996e-05,0.015625,1.0,true,,false
K20_A5_vs_K50_A5,K20_A5,K50_A5,runtime_total_sec,lower_better,33,0,6,1,26,0.1220662955081824,0.02053213119506836,0.061930943257880934,0.18805136807037115,0.00014457409270107746,-0.6363636363636364,true,,false
K50_A5_vs_K100_A5,K50_A5,K100_A5,mincut_attempts,higher_better,33,0,13,20,0,13.090909090909092,0.0,6.7257575757575765,19.760606060606044,0.000244140625,1.0,true,,false
K50_A5_vs_K100_A5,K50_A5,K100_A5,mincut_accepted,higher_better,33,0,4,29,0,0.24242424242424243,0.0,0.06060606060606061,0.48484848484848486,nan,1.0,true,,false
K50_A5_vs_K100_A5,K50_A5,K100_A5,mincut_gain,higher_better,33,0,4,29,0,0.8484848484848485,0.0,0.06060606060606061,1.878787878787879,nan,1.0,true,,false
K50_A5_vs_K100_A5,K50_A5,K100_A5,upset_simple,lower_better,33,0,4,29,0,-1.9729765774535007e-05,0.0,-3.9745918194131696e-05,-3.1763516805755905e-06,nan,1.0,true,,false
K50_A5_vs_K100_A5,K50_A5,K100_A5,runtime_total_sec,lower_better,33,0,11,4,18,0.10679321578054717,0.014225006103515625,0.011165709206552217,0.22155972484386327,0.17108511831611395,-0.21212121212121213,true,,false
K20_A5_vs_K100_A5,K20_A5,K100_A5,mincut_attempts,higher_better,33,0,17,16,0,27.272727272727273,7.0,16.69621212121212,37.96969696969697,0.00027288864585207705,1.0,true,,false
K20_A5_vs_K100_A5,K20_A5,K100_A5,mincut_accepted,higher_better,33,0,9,24,0,0.696969696969697,0.0,0.30303030303030304,1.1515151515151516,0.00390625,1.0,true,,false
K20_A5_vs_K100_A5,K20_A5,K100_A5,mincut_gain,higher_better,33,0,9,24,0,3.145454545454546,0.0,0.9333333333333337,5.806212121212121,0.00390625,1.0,true,,false
K20_A5_vs_K100_A5,K20_A5,K100_A5,upset_simple,lower_better,33,0,8,25,0,-0.0001501015249031131,0.0,-0.00028959233919612824,-4.429350417533417e-05,0.0078125,1.0,true,,false
K20_A5_vs_K100_A5,K20_A5,K100_A5,runtime_total_sec,lower_better,33,0,4,4,25,0.22885951128872958,0.03332710266113281,0.10096197019923818,0.38113631840908163,2.4799024686217308e-05,-0.696969696969697,true,,false
