family,config,n_datasets,median_upset_simple,median_upset_ratio,median_upset_naive,median_removed_final_weight,median_mincut_gain,median_runtime_total_sec
Animal,A0,1,0.09158679446219382,0.4506010196832501,86.0,133.0,0.0,0.0029976367950439453
Animal,A1,1,0.08945686900958466,0.4437286976166951,84.0,84.0,0.0,0.0041811466217041016
Animal,A2,1,0.07880724174653887,0.4459050280269133,74.0,74.0,0.0,0.004470348358154297
Animal,A3,1,0.08945686900958466,0.3594722985877824,84.0,84.0,0.0,0.011987924575805664
Animal,A4,1,0.07880724174653887,0.3533387265554227,74.0,74.0,0.0,0.011841297149658203
Animal,A5,1,0.07880724174653887,0.4459050280269133,74.0,74.0,0.0,0.03790593147277832
Animal,A6,1,0.07880724174653887,0.4459050280269133,74.0,74.0,0.0,0.042537689208984375
Basketball_coarse,A0,30,0.12269688232470016,0.4936632463864594,6783.0,10555.0,0.0,0.15111494064331055
Basketball_coarse,A1,12,0.12160578081372886,0.4835612736326396,6651.5,6651.5,0.0,0.30023932456970215
Basketball_coarse,A2,30,0.10195413545825854,0.5005963214786069,5599.0,5599.0,0.0,0.34424471855163574
Basketball_coarse,A3,12,0.12040586233131975,0.4774860095537589,6541.5,6651.5,0.0,0.41420483589172363
Basketball_coarse,A4,30,0.10183426725504706,0.4942160435262035,5597.0,5599.0,0.0,0.46034538745880127
Basketball_coarse,A5,12,0.10095261078123448,0.4961218958783805,5515.0,5521.5,48.5,3.0160393714904785
Basketball_coarse,A6,30,0.10084276072168319,0.5019306537562034,5540.0,5548.5,50.5,3.243754506111145
Basketball_finer,A0,30,0.4780093369077713,0.15860895314609882,301933.1,554226.4,0.0,0.2669867277145386
Basketball_finer,A1,10,0.4781970259873238,0.16525401420016295,301933.1,301933.1,0.0,0.5162211656570435
Basketball_finer,A2,30,0.4709660439303638,0.1414414658949028,297717.1,297717.1,0.0,0.6523008346557617
Basketball_finer,A3,10,0.4781830613884035,0.14085173754432773,301933.1,301933.1,0.0,0.6961257457733154
Basketball_finer,A4,30,0.4707441236035302,0.12041759209977894,297592.6,297717.1,0.0,0.8024415969848633
Basketball_finer,A5,10,0.47097186093036314,0.13833744647458257,297424.1,297424.1,267.0,10.978914976119995
Basketball_finer,A6,30,0.4705701039399711,0.14007298565489607,297424.1,297424.1,249.9999999999709,10.578997254371643
Faculty,A0,3,0.05314256515074093,0.5187581158908041,104.0,219.0,0.0,0.015300989151000977
Faculty,A1,3,0.05058763413387839,0.5202925724461757,99.0,99.0,0.0,0.020502567291259766
Faculty,A2,3,0.03372508942258559,0.5170612976755534,66.0,66.0,0.0,0.023873329162597656
Faculty,A3,3,0.050076647930505876,0.45353558675164346,98.0,99.0,0.0,0.07311177253723145
Faculty,A4,3,0.03372508942258559,0.44487579657341364,66.0,66.0,0.0,0.07682251930236816
Faculty,A5,3,0.03372508942258559,0.5170612976755534,66.0,66.0,0.0,0.7065134048461914
Faculty,A6,3,0.03372508942258559,0.5170612976755534,66.0,66.0,0.0,0.7144687175750732
Football_coarse,A0,6,0.19251191200324413,0.5237367597898859,104.5,180.5,0.0,0.0034656524658203125
Football_coarse,A1,3,0.2062043795620438,0.5001531258263577,113.0,113.0,0.0,0.004988670349121094
Football_coarse,A2,6,0.15890485604217358,0.5015728770074785,89.0,89.0,0.0,0.005029082298278809
Football_coarse,A3,3,0.19343065693430658,0.42273712990585677,106.0,113.0,0.0,0.013272523880004883
Football_coarse,A4,6,0.15890485604217358,0.42733109373422673,89.0,89.0,0.0,0.013427257537841797
Football_coarse,A5,3,0.18065693430656934,0.5105298240287788,99.0,99.0,0.0,0.06552791595458984
Football_coarse,A6,6,0.15890485604217358,0.4697933840986537,86.5,88.0,0.0,0.06285655498504639
Football_finer,A0,6,0.3735390195128615,0.25059357688108297,419.9999999999999,713.5999999999999,0.0,0.008514881134033203
Football_finer,A1,3,0.37828371278458833,0.24508301398983168,431.9999999999999,431.9999999999999,0.0,0.014762163162231445
Football_finer,A2,6,0.3542756062318606,0.25129391732951595,394.4999999999999,394.4999999999999,0.0,0.015006780624389648
Football_finer,A3,3,0.3660245183887915,0.183561316807491,417.9999999999999,431.9999999999999,0.0,0.022476911544799805
Football_finer,A4,6,0.35121080763291135,0.18893319722276616,389.4999999999999,394.4999999999999,0.0,0.022609233856201172
Football_finer,A5,3,0.35726795096322234,0.24186388491705824,407.9999999999999,407.9999999999999,7.0,0.20165443420410156
Football_finer,A6,6,0.35121080763291135,0.2502897870542175,388.4999999999999,389.0999999999999,2.9000000000000057,0.20467829704284668
Halo,A0,1,0.17738905549049377,0.6900320582144942,4249.0,6845.0,0.0,0.11887598037719727
Halo,A1,1,0.17425791919231415,0.6902244966765895,4174.0,4174.0,0.0,0.21373724937438965
Halo,A2,1,0.4305097460746765,0.5514235418490658,10312.0,3302.0,0.0,0.5450632572174072
Halo,A3,1,0.17346470057964325,0.6859868595095588,4155.0,4174.0,0.0,0.43674468994140625
Halo,A4,1,0.4254581928253174,0.5483769904046956,10191.0,3302.0,0.0,0.74678635597229
Halo,A5,1,0.4305097460746765,0.5514235418490658,10312.0,3283.0,19.0,7.3574299812316895
Halo,A6,1,0.4305097460746765,0.5514235418490658,10312.0,3283.0,19.0,7.091858625411987
