dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification,runtime_algorithm_sec
Basketball_temporal/1985,Basketball_coarse,Z12_A4,712779aad638f619,1787631006.243416,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.4537179485826296,4031.0,0.09373816915272204,0.32303404808044434,0.08158540725708008,0.04005932807922363,0.09583020210266113,0.0,758,[384],exhausted,,0.21747493743896484
Basketball_temporal/1985,Basketball_coarse,Z15_A4,712779aad638f619,1787631021.32477,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.4537179485826296,4031.0,0.09373816915272204,0.32332944869995117,0.08151769638061523,0.04011034965515137,0.09610104560852051,0.0,758,[384],exhausted,,0.2177290916442871
Basketball_temporal/1985,Basketball_coarse,Z18_A4,712779aad638f619,1787631036.4704509,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.4537179485826296,4031.0,0.09373816915272204,0.32352161407470703,0.0815582275390625,0.03993701934814453,0.09619951248168945,0.0,758,[384],exhausted,,0.21769475936889648
Basketball_temporal/1988,Basketball_coarse,Z12_A4,712779aad638f619,1787631006.5716424,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.46823382169098277,4857.0,0.12735950363918386,0.3416025638580322,0.08254814147949219,0.05040335655212402,0.09855985641479492,0.0,821,[425],exhausted,,0.23151135444641113
Basketball_temporal/1988,Basketball_coarse,Z15_A4,712779aad638f619,1787631021.6538055,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.46823382169098277,4857.0,0.12735950363918386,0.3394763469696045,0.08255863189697266,0.050424814224243164,0.09843039512634277,0.0,821,[425],exhausted,,0.2314138412475586
Basketball_temporal/1988,Basketball_coarse,Z18_A4,712779aad638f619,1787631036.7998781,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.46823382169098277,4857.0,0.12735950363918386,0.33937931060791016,0.08266949653625488,0.05034160614013672,0.09856843948364258,0.0,821,[425],exhausted,,0.23157954216003418
Basketball_temporal/1991,Basketball_coarse,Z12_A4,712779aad638f619,1787631006.9186494,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.1017589626532139,0.45049485269184525,5305.0,0.09680618009915831,0.44641733169555664,0.13147473335266113,0.0472712516784668,0.10995888710021973,0.0,875,[411],exhausted,,0.28870487213134766
Basketball_temporal/1991,Basketball_coarse,Z15_A4,712779aad638f619,1787631021.9987714,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.1017589626532139,0.45049485269184525,5305.0,0.09680618009915831,0.44605064392089844,0.1317448616027832,0.04725027084350586,0.10966706275939941,0.0,875,[411],exhausted,,0.2886621952056885
Basketball_temporal/1991,Basketball_coarse,Z18_A4,712779aad638f619,1787631037.145043,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.1017589626532139,0.45049485269184525,5305.0,0.09680618009915831,0.44661569595336914,0.13179898262023926,0.047283172607421875,0.11002588272094727,0.0,875,[411],exhausted,,0.2891080379486084
Basketball_temporal/1993,Basketball_coarse,Z12_A4,712779aad638f619,1787631011.482071,complete,298,3088,0.03489028992384697,48535.0,1095,5035.0,710,5035.0,0.10373956938291955,385,0,0,0.0,0.10373956938291955,0.48807612884221246,5035.0,0.09276207262784444,0.3823206424713135,0.10004663467407227,0.05136728286743164,0.10553264617919922,0.0,795,[385],exhausted,,0.2569465637207031
