panel,config,manuscript_label,dataset_id,upset_simple,upset_naive,upset_ratio,runtime_sec
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/1985,0.11898352801718816,4818.0,0.4571296595970426,0.10869979858398438
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/1988,0.12259701054485231,5848.0,0.4930276935153653,0.11072015762329102
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/1991,0.11844704889417451,6175.0,0.46378504429214873,0.16016507148742676
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/1993,0.12489955702070671,6062.0,0.4807220558033008,0.1264479160308838
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/1994,0.12160256912352158,6210.0,0.46764444582893633,0.1286015510559082
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/1997,0.13594173376635854,7074.0,0.48875371794603417,0.1657121181488037
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/2000,0.11705873811079649,6449.0,0.508771370693921,0.15813088417053223
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/2003,0.12958578795720238,7061.0,0.5108512596475314,0.14913249015808105
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/2006,0.13526587487816324,7494.0,0.511888407476773,0.17493844032287598
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/2009,0.1246892454718626,7724.0,0.48885300364503964,0.22005796432495117
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/2012,0.11998244872753275,7383.0,0.47870303606381914,0.18720602989196777
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/2014,0.12678785490254035,7721.0,0.49989785637465345,0.20436620712280273
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer1985,0.4801979587122619,249046.7,0.16460985124327354,0.2080845832824707
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer1988,0.4782642567778124,279324.5,0.16171459599363527,0.2114722728729248
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer1991,0.47755962196801244,301236.3,0.1628823225125111,0.23966717720031738
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer1994,0.47812979519683513,291029.0,0.16741347189018663,0.2238781452178955
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer1997,0.47841035849736574,278774.5,0.163471621573517,0.24380898475646973
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer2000,0.4770461935601028,302629.9,0.15983473550297636,0.3083648681640625
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer2003,0.4783814853993643,308601.6,0.16151201074932892,0.3077528476715088
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer2006,0.4785369983669522,312900.7,0.15289276923867193,0.32213902473449707
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer2009,0.4779240988447635,341709.89999999997,0.16364641567164026,0.3546755313873291
panel_a_legacy,A0,A0 (Phase A only),Basketball_temporal/finer2012,0.4764550713716006,337870.3,0.15850561348368847,0.3765556812286377
