dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification,runtime_algorithm_sec
Basketball_temporal/1985,Basketball_coarse,P0,712779aad638f619,1787631110.2050333,complete,282,2904,0.03664723252820474,40493.0,1074,7341.0,1074,7341.0,0.1812905934359025,0,0,0,0.0,0.11898352801718816,0.4571296595970426,4818.0,0.0,0.10593175888061523,0.0818929672241211,1.430511474609375e-06,0.0009458065032958984,0.0,758,[0],phase_b_disabled,,0.0828402042388916
Basketball_temporal/1985,Basketball_coarse,P1,712779aad638f619,1787631115.2736712,complete,282,2904,0.03664723252820474,40493.0,1074,4818.0,769,4818.0,0.11898352801718816,305,0,0,0.0,0.11804509421381473,0.4582466660703773,4780.0,0.013881527472804826,0.18970203399658203,0.08155560493469238,0.0015282630920410156,0.0010771751403808594,0.0,758,[305],max_passes,,0.08416104316711426
Basketball_temporal/1985,Basketball_coarse,P2,712779aad638f619,1787631124.3910913,complete,282,2904,0.03664723252820474,40493.0,1074,4780.0,762,4780.0,0.11804509421381473,312,0,0,0.0,0.11804509421381473,0.45794183965857993,4780.0,0.015370636783523888,0.19122004508972168,0.08159971237182617,0.0029845237731933594,0.0010738372802734375,0.0,758,"[305, 7]",max_passes,,0.08565807342529297
Basketball_temporal/1985,Basketball_coarse,P3,712779aad638f619,1787631133.5589895,complete,282,2904,0.03664723252820474,40493.0,1074,4780.0,762,4780.0,0.11804509421381473,312,0,0,0.0,0.11804509421381473,0.45794183965857993,4780.0,0.015370636783523888,0.19306063652038574,0.08177733421325684,0.00442814826965332,0.0010790824890136719,0.0,758,"[305, 7, 0]",no_change,,0.08728456497192383
Basketball_temporal/1988,Basketball_coarse,P0,712779aad638f619,1787631110.318201,complete,290,3099,0.03697649445173607,47701.0,1155,9054.0,1155,9054.0,0.18980734156516635,0,0,0,0.0,0.12259701054485231,0.4930276935153653,5848.0,0.0,0.10798311233520508,0.08270645141601562,1.6689300537109375e-06,0.0009982585906982422,0.0,821,[0],phase_b_disabled,,0.08370637893676758
Basketball_temporal/1988,Basketball_coarse,P1,712779aad638f619,1787631115.4706926,complete,290,3099,0.03697649445173607,47701.0,1155,5848.0,811,5848.0,0.12259701054485231,344,0,0,0.0,0.12138110312152785,0.48718265349279727,5790.0,0.01713399355685479,0.19332170486450195,0.08258914947509766,0.0016145706176757812,0.0011448860168457031,0.0,821,[344],max_passes,,0.08534860610961914
Basketball_temporal/1988,Basketball_coarse,P2,712779aad638f619,1787631124.5981567,complete,290,3099,0.03697649445173607,47701.0,1155,5790.0,804,5790.0,0.12138110312152785,351,0,0,0.0,0.12123435567388524,0.4868378873048542,5783.0,0.018661257606490872,0.1949305534362793,0.08245563507080078,0.003168821334838867,0.0011477470397949219,0.0,821,"[344, 7]",max_passes,,0.08677220344543457
Basketball_temporal/1988,Basketball_coarse,P3,712779aad638f619,1787631133.7600107,complete,290,3099,0.03697649445173607,47701.0,1155,5783.0,803,5783.0,0.12123435567388524,352,0,0,0.0,0.12123435567388524,0.4869309210884603,5783.0,0.01885216561269538,0.19650530815124512,0.08266401290893555,0.004767656326293945,0.001148223876953125,0.0,821,"[344, 7, 1]",max_passes,,0.08857989311218262
Basketball_temporal/1991,Basketball_coarse,P0,712779aad638f619,1787631110.4333105,complete,295,3218,0.03710365502133057,52133.0,1160,9303.0,1160,9303.0,0.17844743252834097,0,0,0,0.0,0.11844704889417451,0.46378504429214873,6175.0,0.0,0.15775752067565918,0.13201665878295898,1.6689300537109375e-06,0.0010502338409423828,0.0,875,[0],phase_b_disabled,,0.13306856155395508
Basketball_temporal/1991,Basketball_coarse,P1,712779aad638f619,1787631115.6711216,complete,295,3218,0.03710365502133057,52133.0,1160,6175.0,815,6175.0,0.11844704889417451,345,0,0,0.0,0.11775650739454856,0.4592160022562384,6139.0,0.012152657673238787,0.2918057441711426,0.13155889511108398,0.0016887187957763672,0.0012013912200927734,0.0,875,[345],max_passes,,0.13444900512695312
Basketball_temporal/1991,Basketball_coarse,P2,712779aad638f619,1787631124.8006663,complete,295,3218,0.03710365502133057,52133.0,1160,6139.0,810,6139.0,0.11775650739454856,350,0,0,0.0,0.11775650739454856,0.4590799850273461,6139.0,0.012729159460394327,0.2932004928588867,0.13139820098876953,0.0033254623413085938,0.0012078285217285156,0.0,875,"[345, 5]",max_passes,,0.13593149185180664
Basketball_temporal/1991,Basketball_coarse,P3,712779aad638f619,1787631133.9643004,complete,295,3218,0.03710365502133057,52133.0,1160,6139.0,810,6139.0,0.11775650739454856,350,0,0,0.0,0.11775650739454856,0.4590799850273461,6139.0,0.012729159460394327,0.29561305046081543,0.13151025772094727,0.00494074821472168,0.0012068748474121094,0.0,875,"[345, 5, 0]",no_change,,0.13765788078308105
Basketball_temporal/1993,Basketball_coarse,P0,712779aad638f619,1787631112.023357,complete,298,3088,0.03489028992384697,48535.0,1095,8984.0,1095,8984.0,0.1851035335325023,0,0,0,0.0,0.12489955702070671,0.4807220558033008,6062.0,0.0,0.12548828125,0.10008883476257324,1.1920928955078125e-06,0.0010273456573486328,0.0,795,[0],phase_b_disabled,,0.10111737251281738
Basketball_temporal/1993,Basketball_coarse,P1,712779aad638f619,1787631118.56376,complete,298,3088,0.03489028992384697,48535.0,1095,6062.0,796,6062.0,0.12489955702070671,299,0,0,0.0,0.12376635417739776,0.481024305589362,6007.0,0.019456308046912073,0.228363037109375,0.10019469261169434,0.0016200542449951172,0.00115203857421875,0.0,795,[299],max_passes,,0.1029667854309082
Basketball_temporal/1993,Basketball_coarse,P2,712779aad638f619,1787631127.7103622,complete,298,3088,0.03489028992384697,48535.0,1095,6007.0,790,6007.0,0.12376635417739776,305,0,0,0.0,0.12376635417739776,0.48152638155633837,6007.0,0.019411113370844914,0.22956633567810059,0.09998440742492676,0.003190279006958008,0.0011475086212158203,0.0,795,"[299, 6]",max_passes,,0.10432219505310059
Basketball_temporal/1993,Basketball_coarse,P3,712779aad638f619,1787631136.9021766,complete,298,3088,0.03489028992384697,48535.0,1095,6007.0,790,6007.0,0.12376635417739776,305,0,0,0.0,0.12376635417739776,0.48152638155633837,6007.0,0.019411113370844914,0.23140621185302734,0.0999605655670166,0.00475621223449707,0.0011501312255859375,0.0,795,"[299, 6, 0]",no_change,,0.10586690902709961
Basketball_temporal/1994,Basketball_coarse,P0,712779aad638f619,1787631110.5980172,complete,301,3144,0.03481727574750831,51068.0,1099,9381.0,1099,9381.0,0.18369624813973526,0,0,0,0.0,0.12160256912352158,0.46764444582893633,6210.0,0.0,0.12664103507995605,0.1005239486694336,1.430511474609375e-06,0.0010635852813720703,0.0,849,[0],phase_b_disabled,,0.10158896446228027
Basketball_temporal/1994,Basketball_coarse,P1,712779aad638f619,1787631115.9702518,complete,301,3144,0.03481727574750831,51068.0,1099,6210.0,788,6210.0,0.12160256912352158,311,0,0,0.0,0.12083888149134488,0.468264659877087,6171.0,0.009789590254706534,0.23019623756408691,0.1006927490234375,0.0016696453094482422,0.0011887550354003906,0.0,849,[311],max_passes,,0.10355114936828613
Basketball_temporal/1994,Basketball_coarse,P2,712779aad638f619,1787631125.10176,complete,301,3144,0.03481727574750831,51068.0,1099,6171.0,786,6171.0,0.12083888149134488,313,0,0,0.0,0.12083888149134488,0.4685511790337731,6171.0,0.010143964562569214,0.23122072219848633,0.10031008720397949,0.0032558441162109375,0.0011763572692871094,0.0,849,"[311, 2]",max_passes,,0.10474228858947754
Basketball_temporal/1994,Basketball_coarse,P3,712779aad638f619,1787631134.268029,complete,301,3144,0.03481727574750831,51068.0,1099,6171.0,786,6171.0,0.12083888149134488,313,0,0,0.0,0.12083888149134488,0.4685511790337731,6171.0,0.010143964562569214,0.23308587074279785,0.10043907165527344,0.004879951477050781,0.0011827945709228516,0.0,849,"[311, 2, 0]",no_change,,0.10650181770324707
Basketball_temporal/1997,Basketball_coarse,P0,712779aad638f619,1787631110.7317371,complete,305,3333,0.035946937014667814,52037.0,1232,10760.0,1232,10760.0,0.20677594788323692,0,0,0,0.0,0.13594173376635854,0.48875371794603417,7074.0,0.0,0.16294193267822266,0.13657474517822266,1.1920928955078125e-06,0.0010783672332763672,0.0,948,[0],phase_b_disabled,,0.13765430450439453
Basketball_temporal/1997,Basketball_coarse,P1,712779aad638f619,1787631116.2079837,complete,305,3333,0.035946937014667814,52037.0,1232,7074.0,862,7074.0,0.13594173376635854,370,0,0,0.0,0.13328977458346947,0.48470389106751016,6936.0,0.018334771354616048,0.30238819122314453,0.1366581916809082,0.0017478466033935547,0.0012581348419189453,0.0,948,[370],max_passes,,0.1396641731262207
Basketball_temporal/1997,Basketball_coarse,P2,712779aad638f619,1787631125.3406599,complete,305,3333,0.035946937014667814,52037.0,1232,6936.0,849,6936.0,0.13328977458346947,383,0,0,0.0,0.13300151815054673,0.48434971773630386,6921.0,0.019089732528041414,0.3038918972015381,0.136338472366333,0.003443479537963867,0.001253366470336914,0.0,948,"[370, 13]",max_passes,,0.1410353183746338
Basketball_temporal/1997,Basketball_coarse,P3,712779aad638f619,1787631134.5091763,complete,305,3333,0.035946937014667814,52037.0,1232,6921.0,847,6921.0,0.13300151815054673,385,0,0,0.0,0.13300151815054673,0.4841280674034276,6921.0,0.019240724762726487,0.3057847023010254,0.13653087615966797,0.0051212310791015625,0.0012297630310058594,0.0,948,"[370, 13, 2]",max_passes,,0.1428818702697754
Basketball_temporal/2000,Basketball_coarse,P0,712779aad638f619,1787631110.9016595,complete,318,3475,0.03447215443525187,55092.0,1189,10117.0,1189,10117.0,0.18363827778987873,0,0,0,0.0,0.11705873811079649,0.508771370693921,6449.0,0.0,0.15710806846618652,0.12958240509033203,1.1920928955078125e-06,0.0011792182922363281,0.0,888,[0],phase_b_disabled,,0.13076281547546387
Basketball_temporal/2000,Basketball_coarse,P1,712779aad638f619,1787631116.517868,complete,318,3475,0.03447215443525187,55092.0,1189,6449.0,820,6449.0,0.11705873811079649,369,0,0,0.0,0.11607855950047194,0.5063679920409568,6395.0,0.011824692974624526,0.29020261764526367,0.1298360824584961,0.001840829849243164,0.0013315677642822266,0.0,888,[369],max_passes,,0.13300848007202148
Basketball_temporal/2000,Basketball_coarse,P2,712779aad638f619,1787631125.6522505,complete,318,3475,0.03447215443525187,55092.0,1189,6395.0,813,6395.0,0.11607855950047194,376,0,0,0.0,0.11584259057576418,0.5058367696000226,6382.0,0.014562625240561077,0.291670560836792,0.1295766830444336,0.003648996353149414,0.0013301372528076172,0.0,888,"[369, 7]",max_passes,,0.13455581665039062
Basketball_temporal/2000,Basketball_coarse,P3,712779aad638f619,1787631134.822911,complete,318,3475,0.03447215443525187,55092.0,1189,6382.0,811,6382.0,0.11584259057576418,378,0,0,0.0,0.11584259057576418,0.5053965645111415,6382.0,0.014443584707259488,0.2936055660247803,0.12979817390441895,0.0054149627685546875,0.0013241767883300781,0.0,888,"[369, 7, 2]",max_passes,,0.1365373134613037
Basketball_temporal/2003,Basketball_coarse,P0,712779aad638f619,1787631111.0656211,complete,327,3560,0.03339524586780736,54489.0,1297,11034.0,1297,11034.0,0.20249958707262017,0,0,0,0.0,0.12958578795720238,0.5108512596475314,7061.0,0.0,0.14650177955627441,0.11894559860229492,1.6689300537109375e-06,0.00116729736328125,0.0,919,[0],phase_b_disabled,,0.12011456489562988
Basketball_temporal/2003,Basketball_coarse,P1,712779aad638f619,1787631116.8155677,complete,327,3560,0.03339524586780736,54489.0,1297,7061.0,872,7061.0,0.12958578795720238,425,0,0,0.0,0.12813595404577072,0.5105120022841021,6982.0,0.014615110410686478,0.2692530155181885,0.11924242973327637,0.0018780231475830078,0.0013599395751953125,0.0,919,[425],max_passes,,0.12248039245605469
Basketball_temporal/2003,Basketball_coarse,P2,712779aad638f619,1787631125.9517894,complete,327,3560,0.03339524586780736,54489.0,1297,6982.0,863,6982.0,0.12813595404577072,434,0,0,0.0,0.1280625447337995,0.512119660330504,6978.0,0.019174124312864676,0.2715282440185547,0.11959099769592285,0.003683805465698242,0.0013577938079833984,0.0,919,"[425, 9]",max_passes,,0.12463259696960449
Basketball_temporal/2003,Basketball_coarse,P3,712779aad638f619,1787631135.1324952,complete,327,3560,0.03339524586780736,54489.0,1297,6978.0,862,6978.0,0.1280625447337995,435,0,0,0.0,0.1280625447337995,0.5120650169235849,6978.0,0.01956811316860847,0.27283763885498047,0.11921167373657227,0.005541563034057617,0.0013623237609863281,0.0,919,"[425, 9, 1]",max_passes,,0.1261155605316162
Basketball_temporal/2006,Basketball_coarse,P0,712779aad638f619,1787631111.2191756,complete,334,3695,0.03322184459909011,55402.0,1312,11703.0,1312,11703.0,0.21123786144904516,0,0,0,0.0,0.13526587487816324,0.511888407476773,7494.0,0.0,0.17265701293945312,0.14366865158081055,1.6689300537109375e-06,0.0012233257293701172,0.0,942,[0],phase_b_disabled,,0.14489364624023438
Basketball_temporal/2006,Basketball_coarse,P1,712779aad638f619,1787631117.0923162,complete,334,3695,0.03322184459909011,55402.0,1312,7494.0,881,7494.0,0.13526587487816324,431,0,0,0.0,0.13420093137431863,0.5144940702677105,7435.0,0.018359677042311773,0.3193690776824951,0.14348864555358887,0.0019500255584716797,0.0014183521270751953,0.0,942,[431],max_passes,,0.14685702323913574
Basketball_temporal/2006,Basketball_coarse,P2,712779aad638f619,1787631126.231204,complete,334,3695,0.03322184459909011,55402.0,1312,7435.0,874,7435.0,0.13420093137431863,438,0,0,0.0,0.1340926320349446,0.5145208333076121,7429.0,0.01929474384564205,0.3213071823120117,0.14363837242126465,0.0038480758666992188,0.0014116764068603516,0.0,942,"[431, 7]",max_passes,,0.14889812469482422
Basketball_temporal/2006,Basketball_coarse,P3,712779aad638f619,1787631135.4133277,complete,334,3695,0.03322184459909011,55402.0,1312,7429.0,873,7429.0,0.1340926320349446,439,0,0,0.0,0.1340926320349446,0.5145442320726015,7429.0,0.01945658233083383,0.322803258895874,0.14319801330566406,0.005782604217529297,0.0014104843139648438,0.0,942,"[431, 7, 1]",max_passes,,0.1503911018371582
Basketball_temporal/2009,Basketball_coarse,P0,712779aad638f619,1787631111.3989067,complete,347,4155,0.034607119654844996,61946.0,1424,11917.0,1424,11917.0,0.19237723178252025,0,0,0,0.0,0.1246892454718626,0.48885300364503964,7724.0,0.0,0.21743249893188477,0.1852869987487793,1.430511474609375e-06,0.0014309883117675781,0.0,1039,[0],phase_b_disabled,,0.18671941757202148
