dataset,family,config,is_finance,status,terminal_classification,n,m,density,density_regime,m_times_n,m_squared,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,break_reason
Basketball_temporal/1990,Basketball_coarse,A2,false,complete,SUCCESS,292,3192,0.03756531563338512,sparse_<0.05,932064.0,10188864.0,0.3093597888946533,0.11432027816772461,0.05319929122924805,0.0012445449829101562,0.0,exhausted
Basketball_temporal/1990,Basketball_coarse,A4,false,complete,SUCCESS,292,3192,0.03756531563338512,sparse_<0.05,932064.0,10188864.0,0.4185512065887451,0.11569070816040039,0.05333113670349121,0.108734130859375,0.0,exhausted
Basketball_temporal/1990,Basketball_coarse,A6,false,complete,SUCCESS,292,3192,0.03756531563338512,sparse_<0.05,932064.0,10188864.0,3.3922221660614014,0.1132516860961914,0.05306363105773926,0.10768985748291016,2.976595401763916,exhausted
Basketball_temporal/1991,Basketball_coarse,A0,false,complete,SUCCESS,295,3218,0.03710365502133057,sparse_<0.05,949310.0,10355524.0,0.16016507148742676,0.13409042358398438,1.9073486328125e-06,0.0010662078857421875,0.0,phase_b_disabled
Basketball_temporal/1991,Basketball_coarse,A2,false,complete,SUCCESS,295,3218,0.03710365502133057,sparse_<0.05,949310.0,10355524.0,0.34908556938171387,0.13597440719604492,0.048023223876953125,0.0013380050659179688,0.0,exhausted
Basketball_temporal/1991,Basketball_coarse,A4,false,complete,SUCCESS,295,3218,0.03710365502133057,sparse_<0.05,949310.0,10355524.0,0.45845675468444824,0.13638067245483398,0.04807758331298828,0.11228227615356445,0.0,exhausted
Basketball_temporal/1991,Basketball_coarse,A6,false,complete,SUCCESS,295,3218,0.03710365502133057,sparse_<0.05,949310.0,10355524.0,2.5274150371551514,0.13186025619506836,0.0473637580871582,0.11022591590881348,2.0780298709869385,exhausted
Basketball_temporal/1992,Basketball_coarse,A0,false,complete,SUCCESS,298,3238,0.036585090276365445,sparse_<0.05,964924.0,10484644.0,0.1614091396331787,0.13425898551940918,2.1457672119140625e-06,0.0010716915130615234,0.0,phase_b_disabled
Basketball_temporal/1992,Basketball_coarse,A2,false,complete,SUCCESS,298,3238,0.036585090276365445,sparse_<0.05,964924.0,10484644.0,0.34793949127197266,0.13502717018127441,0.05133366584777832,0.0012600421905517578,0.0,exhausted
Basketball_temporal/1992,Basketball_coarse,A4,false,complete,SUCCESS,298,3238,0.036585090276365445,sparse_<0.05,964924.0,10484644.0,0.4622340202331543,0.14006590843200684,0.05130505561828613,0.10981369018554688,0.0,exhausted
Basketball_temporal/1992,Basketball_coarse,A6,false,complete,SUCCESS,298,3238,0.036585090276365445,sparse_<0.05,964924.0,10484644.0,3.0133461952209473,0.13327383995056152,0.051006317138671875,0.10819196701049805,2.5587668418884277,exhausted
Basketball_temporal/1993,Basketball_coarse,A0,false,complete,SUCCESS,298,3088,0.03489028992384697,sparse_<0.05,920224.0,9535744.0,0.1264479160308838,0.10081124305725098,1.6689300537109375e-06,0.0010290145874023438,0.0,phase_b_disabled
Basketball_temporal/1993,Basketball_coarse,A2,false,complete,SUCCESS,298,3088,0.03489028992384697,sparse_<0.05,920224.0,9535744.0,0.2861497402191162,0.10375666618347168,0.05182313919067383,0.0012094974517822266,0.0,exhausted
Basketball_temporal/1993,Basketball_coarse,A4,false,complete,SUCCESS,298,3088,0.03489028992384697,sparse_<0.05,920224.0,9535744.0,0.3958570957183838,0.1047971248626709,0.05312609672546387,0.10853338241577148,0.0,exhausted
Basketball_temporal/1993,Basketball_coarse,A6,false,complete,SUCCESS,298,3088,0.03489028992384697,sparse_<0.05,920224.0,9535744.0,3.0547683238983154,0.10006856918334961,0.05150246620178223,0.10628342628479004,2.669080972671509,exhausted
Basketball_temporal/1994,Basketball_coarse,A0,false,complete,SUCCESS,301,3144,0.03481727574750831,sparse_<0.05,946344.0,9884736.0,0.1286015510559082,0.10185527801513672,1.6689300537109375e-06,0.0010986328125,0.0,phase_b_disabled
Basketball_temporal/1994,Basketball_coarse,A2,false,complete,SUCCESS,301,3144,0.03481727574750831,sparse_<0.05,946344.0,9884736.0,0.28629469871520996,0.10355305671691895,0.05325484275817871,0.0012423992156982422,0.0,exhausted
Basketball_temporal/1994,Basketball_coarse,A4,false,complete,SUCCESS,301,3144,0.03481727574750831,sparse_<0.05,946344.0,9884736.0,0.40102529525756836,0.1035001277923584,0.05320596694946289,0.11465835571289062,0.0,exhausted
Basketball_temporal/1994,Basketball_coarse,A6,false,complete,SUCCESS,301,3144,0.03481727574750831,sparse_<0.05,946344.0,9884736.0,2.758159637451172,0.10069680213928223,0.05200529098510742,0.11203455924987793,2.364725351333618,exhausted
