dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification
Basketball_temporal/1985,Basketball_coarse,C0_A0,712779aad638f619,1787630955.6383843,complete,282,2904,0.03664723252820474,40493.0,1074,7341.0,1074,7341.0,0.1812905934359025,0,0,0,0.0,0.11898352801718816,0.4571296595970426,4818.0,0.0,0.10568118095397949,0.08165884017944336,2.1457672119140625e-06,0.000942230224609375,0.0,758,[0],phase_b_disabled,
Basketball_temporal/1985,Basketball_coarse,C0_A4,712779aad638f619,1787630960.6017842,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.4537179485826296,4031.0,0.09373816915272204,0.3234138488769531,0.08159399032592773,0.039952754974365234,0.09625482559204102,0.0,758,[384],exhausted,
Basketball_temporal/1985,Basketball_coarse,C1_A0,712779aad638f619,1787630975.689525,complete,282,2904,0.03664723252820474,40493.0,1054,7104.0,1054,7104.0,0.1754377299780209,0,0,0,0.0,0.11478527152841232,0.4650944410181949,4648.0,0.0,0.18358469009399414,0.15949153900146484,1.6689300537109375e-06,0.0009391307830810547,0.0,804,[0],phase_b_disabled,
Basketball_temporal/1985,Basketball_coarse,C1_A4,712779aad638f619,1787630985.9735713,complete,282,2904,0.03664723252820474,40493.0,1054,3944.0,692,3944.0,0.09739955053959944,362,0,0,0.0,0.09720198552836293,0.4508239527173747,3936.0,0.13432270765503143,0.41077661514282227,0.15941500663757324,0.04213857650756836,0.10335612297058105,0.0,804,[362],exhausted,
Basketball_temporal/1988,Basketball_coarse,C0_A0,712779aad638f619,1787630955.7480607,complete,290,3099,0.03697649445173607,47701.0,1155,9054.0,1155,9054.0,0.18980734156516635,0,0,0,0.0,0.12259701054485231,0.4930276935153653,5848.0,0.0,0.10768914222717285,0.08262491226196289,1.1920928955078125e-06,0.0009925365447998047,0.0,821,[0],phase_b_disabled,
Basketball_temporal/1988,Basketball_coarse,C0_A4,712779aad638f619,1787630960.9296658,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.46823382169098277,4857.0,0.12735950363918386,0.3390517234802246,0.0822758674621582,0.05041217803955078,0.0984501838684082,0.0,821,[425],exhausted,
Basketball_temporal/1988,Basketball_coarse,C1_A0,712779aad638f619,1787630975.8777544,complete,290,3099,0.03697649445173607,47701.0,1112,8582.0,1112,8582.0,0.17991237080983627,0,0,0,0.0,0.12293243328232112,0.4758469422812907,5864.0,0.0,0.19510698318481445,0.16991448402404785,1.6689300537109375e-06,0.0010099411010742188,0.0,864,[0],phase_b_disabled,
Basketball_temporal/1988,Basketball_coarse,C1_A4,712779aad638f619,1787630986.3893554,complete,290,3099,0.03697649445173607,47701.0,1112,4833.0,721,4833.0,0.10131863063667429,391,0,0,0.0,0.10129766671558248,0.46521396422345856,4832.0,0.15523207254504237,0.43028807640075684,0.17053985595703125,0.046831369400024414,0.10503029823303223,0.0,864,[391],exhausted,
Basketball_temporal/1991,Basketball_coarse,C0_A0,712779aad638f619,1787630955.8595674,complete,295,3218,0.03710365502133057,52133.0,1160,9303.0,1160,9303.0,0.17844743252834097,0,0,0,0.0,0.11844704889417451,0.46378504429214873,6175.0,0.0,0.15713810920715332,0.13144564628601074,1.430511474609375e-06,0.0010497570037841797,0.0,875,[0],phase_b_disabled,
Basketball_temporal/1991,Basketball_coarse,C0_A4,712779aad638f619,1787630961.2731676,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.1017589626532139,0.45049485269184525,5305.0,0.09680618009915831,0.4456312656402588,0.13122200965881348,0.04723691940307617,0.10975027084350586,0.0,875,[411],exhausted,
Basketball_temporal/1991,Basketball_coarse,C1_A0,712779aad638f619,1787630976.0772839,complete,295,3218,0.03710365502133057,52133.0,1162,9395.0,1162,9395.0,0.18021214969405175,0,0,0,0.0,0.11994322214336409,0.4618462153673648,6253.0,0.0,0.22906231880187988,0.2031726837158203,1.6689300537109375e-06,0.0010619163513183594,0.0,911,[0],phase_b_disabled,
Basketball_temporal/1991,Basketball_coarse,C1_A4,712779aad638f619,1787630986.8246522,complete,295,3218,0.03710365502133057,52133.0,1162,5244.0,741,5244.0,0.10058887844551435,421,0,0,0.0,0.10035869794563904,0.44574074398303104,5232.0,0.12844459817825435,0.5190324783325195,0.20361089706420898,0.05066370964050293,0.10748910903930664,0.0,911,[421],exhausted,
Basketball_temporal/1993,Basketball_coarse,C0_A0,712779aad638f619,1787630957.4198759,complete,298,3088,0.03489028992384697,48535.0,1095,8984.0,1095,8984.0,0.1851035335325023,0,0,0,0.0,0.12489955702070671,0.4807220558033008,6062.0,0.0,0.1250441074371338,0.09985208511352539,1.1920928955078125e-06,0.0010187625885009766,0.0,795,[0],phase_b_disabled,
