dataset,family,config,config_hash,timestamp,status,n,m,density,total_edge_weight,removed_phaseA_count,removed_phaseA_weight,removed_final_count,removed_final_weight,normalized_removed_weight,restored_edge_count,mincut_attempts,mincut_accepted,mincut_gain,upset_simple,upset_ratio,upset_naive,permutation_distance_vs_p1,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,phase1_iterations,reinserted_per_pass,break_reason,terminal_classification
Basketball_temporal/1985,Basketball_coarse,A0,712779aad638f619,1787630193.298617,complete,282,2904,0.03664723252820474,40493.0,1074,7341.0,1074,7341.0,0.1812905934359025,0,0,0,0.0,0.11898352801718816,0.4571296595970426,4818.0,0.0,0.10869979858398438,0.08330774307250977,2.6226043701171875e-06,0.0009860992431640625,0.0,758,[0],phase_b_disabled,
Basketball_temporal/1985,Basketball_coarse,A1,712779aad638f619,1787630207.1329515,complete,282,2904,0.03664723252820474,40493.0,1074,4780.0,762,4780.0,0.11804509421381473,312,0,0,0.0,0.11804509421381473,0.45794183965857993,4780.0,0.015370636783523888,0.196244478225708,0.08244919776916504,0.004442691802978516,0.0010693073272705078,0.0,758,"[305, 7, 0]",no_change,
Basketball_temporal/1985,Basketball_coarse,A2,712779aad638f619,1787630216.2996604,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.46287807766192984,4031.0,0.09373816915272204,0.23147010803222656,0.0825357437133789,0.040111541748046875,0.0011959075927734375,0.0,758,[384],exhausted,
Basketball_temporal/1985,Basketball_coarse,A3,712779aad638f619,1787630250.2839947,complete,282,2904,0.03664723252820474,40493.0,1074,4780.0,762,4780.0,0.11804509421381473,312,0,0,0.0,0.11678561726718198,0.45106086472266094,4729.0,0.01557254991040105,0.2982771396636963,0.08380866050720215,0.004440784454345703,0.10310626029968262,0.0,758,"[305, 7, 0]",no_change,
Basketball_temporal/1985,Basketball_coarse,A4,712779aad638f619,1787630262.850036,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,690,4031.0,0.09954807003679648,384,0,0,0.0,0.09954807003679648,0.4537179485826296,4031.0,0.09373816915272204,0.3315310478210449,0.0835115909576416,0.041046142578125,0.0990300178527832,0.0,758,[384],exhausted,
Basketball_temporal/1985,Basketball_coarse,A5,712779aad638f619,1787630305.9873471,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,692,3948.0,0.0974983330452177,382,27,10,83.0,0.09717728990195837,0.4652678441069052,3935.0,0.0967921051967391,2.205650806427002,0.0847320556640625,0.04062008857727051,0.0011968612670898438,1.9686884880065918,758,[384],exhausted,
Basketball_temporal/1985,Basketball_coarse,A6,712779aad638f619,1787630475.0950785,complete,282,2904,0.03664723252820474,40493.0,1074,4031.0,692,3948.0,0.0974983330452177,382,27,10,83.0,0.09717728990195837,0.4652678441069052,3935.0,0.0967921051967391,2.3335020542144775,0.08555388450622559,0.04068470001220703,0.10224771499633789,1.989999532699585,758,[384],exhausted,
Basketball_temporal/1986,Basketball_coarse,A0,712779aad638f619,1787630198.2108116,complete,283,2937,0.03680174422975716,42282.0,1081,7659.0,1081,7659.0,0.1811409110259685,0,0,0,0.0,0.11487157655740031,0.4915088615879581,4857.0,0.0,0.11801791191101074,0.09366869926452637,1.9073486328125e-06,0.001008749008178711,0.0,790,[0],phase_b_disabled,
Basketball_temporal/1986,Basketball_coarse,A2,712779aad638f619,1787630228.5836656,complete,283,2937,0.03680174422975716,42282.0,1081,4189.0,684,4189.0,0.09907289153777021,397,0,0,0.0,0.09907289153777021,0.49779485835405946,4189.0,0.12723354133774403,0.2644016742706299,0.09611296653747559,0.04693007469177246,0.0011928081512451172,0.0,790,[397],exhausted,
Basketball_temporal/1986,Basketball_coarse,A4,712779aad638f619,1787630278.4023333,complete,283,2937,0.03680174422975716,42282.0,1081,4189.0,684,4189.0,0.09907289153777021,397,0,0,0.0,0.09907289153777021,0.4905395533266876,4189.0,0.12723354133774403,0.3557884693145752,0.09386563301086426,0.04555964469909668,0.09823179244995117,0.0,790,[397],exhausted,
Basketball_temporal/1986,Basketball_coarse,A6,712779aad638f619,1787630641.050757,complete,283,2937,0.03680174422975716,42282.0,1081,4189.0,685,4147.0,0.09807956104252401,396,14,10,42.0,0.09798495813821484,0.4994677975517096,4143.0,0.12811066837079918,2.1442055702209473,0.09230232238769531,0.04461860656738281,0.09692978858947754,1.7923719882965088,790,[397],exhausted,
Basketball_temporal/1987,Basketball_coarse,A0,712779aad638f619,1787630198.329408,complete,290,3045,0.03633217993079585,43841.0,1107,7864.0,1107,7864.0,0.17937547045003535,0,0,0,0.0,0.12168974247850185,0.4942987992575535,5335.0,0.0,0.12113714218139648,0.0960540771484375,1.430511474609375e-06,0.0009970664978027344,0.0,795,[0],phase_b_disabled,
Basketball_temporal/1987,Basketball_coarse,A2,712779aad638f619,1787630228.8496275,complete,290,3045,0.03633217993079585,43841.0,1107,4480.0,727,4480.0,0.10218745010378413,380,0,0,0.0,0.10218745010378413,0.5003315857552244,4480.0,0.09874716620928291,0.26578354835510254,0.09584379196166992,0.04768776893615723,0.0011773109436035156,0.0,795,[380],exhausted,
Basketball_temporal/1987,Basketball_coarse,A4,712779aad638f619,1787630278.7608287,complete,290,3045,0.03633217993079585,43841.0,1107,4480.0,727,4480.0,0.10218745010378413,380,0,0,0.0,0.10161720763668712,0.4933408696631285,4455.0,0.09879489321083403,0.3726480007171631,0.09626603126525879,0.04762530326843262,0.10769915580749512,0.0,795,[380],exhausted,
Basketball_temporal/1987,Basketball_coarse,A6,712779aad638f619,1787630643.1986735,complete,290,3045,0.03633217993079585,43841.0,1107,4480.0,727,4425.0,0.10093291667617071,380,10,10,55.0,0.10093291667617071,0.5018330204822493,4425.0,0.09831762319532275,2.2824349403381348,0.09460306167602539,0.04737401008605957,0.10552382469177246,1.9131865501403809,795,[380],exhausted,
Basketball_temporal/1988,Basketball_coarse,A0,712779aad638f619,1787630193.4075475,complete,290,3099,0.03697649445173607,47701.0,1155,9054.0,1155,9054.0,0.18980734156516635,0,0,0,0.0,0.12259701054485231,0.4930276935153653,5848.0,0.0,0.11072015762329102,0.08497905731201172,2.1457672119140625e-06,0.0010194778442382812,0.0,821,[0],phase_b_disabled,
Basketball_temporal/1988,Basketball_coarse,A1,712779aad638f619,1787630207.330204,complete,290,3099,0.03697649445173607,47701.0,1155,5783.0,803,5783.0,0.12123435567388524,352,0,0,0.0,0.12123435567388524,0.4869309210884603,5783.0,0.01885216561269538,0.1990489959716797,0.08340311050415039,0.00478363037109375,0.0011458396911621094,0.0,821,"[344, 7, 1]",max_passes,
Basketball_temporal/1988,Basketball_coarse,A2,712779aad638f619,1787630216.532442,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.47731721189228,4857.0,0.12735950363918386,0.24891376495361328,0.08431363105773926,0.05185890197753906,0.0012271404266357422,0.0,821,[425],exhausted,
Basketball_temporal/1988,Basketball_coarse,A3,712779aad638f619,1787630250.5843525,complete,290,3099,0.03697649445173607,47701.0,1155,5783.0,803,5783.0,0.12123435567388524,352,0,0,0.0,0.12062640196222302,0.4799318978289564,5754.0,0.0189714831165732,0.30951714515686035,0.08534979820251465,0.004858732223510742,0.10939240455627441,0.0,821,"[344, 7, 1]",max_passes,
Basketball_temporal/1988,Basketball_coarse,A4,712779aad638f619,1787630263.183818,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,730,4857.0,0.1018217647428775,425,0,0,0.0,0.1018217647428775,0.46823382169098277,4857.0,0.12735950363918386,0.34849095344543457,0.08458662033081055,0.050867557525634766,0.1007380485534668,0.0,821,[425],exhausted,
Basketball_temporal/1988,Basketball_coarse,A5,712779aad638f619,1787630308.1961322,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,735,4810.0,0.10083646045156286,420,102,10,47.0,0.10075260476719565,0.48064759705566956,4806.0,0.12969812671518913,3.471928834915161,0.08562445640563965,0.052092790603637695,0.0012726783752441406,3.2188451290130615,821,[425],exhausted,
Basketball_temporal/1988,Basketball_coarse,A6,712779aad638f619,1787630477.4320638,complete,290,3099,0.03697649445173607,47701.0,1155,4857.0,735,4810.0,0.10083646045156286,420,102,10,47.0,0.10075260476719565,0.48064759705566956,4806.0,0.12969812671518913,3.7128701210021973,0.08787989616394043,0.05323982238769531,0.10542511940002441,3.356355905532837,821,[425],exhausted,
Basketball_temporal/1989,Basketball_coarse,A0,712779aad638f619,1787630198.451104,complete,293,3162,0.03695824956753471,49151.0,1119,8935.0,1119,8935.0,0.18178673882525279,0,0,0,0.0,0.11997721307806555,0.494609623624423,5897.0,0.0,0.13522005081176758,0.10973548889160156,1.6689300537109375e-06,0.0010552406311035156,0.0,838,[0],phase_b_disabled,
Basketball_temporal/1989,Basketball_coarse,A2,712779aad638f619,1787630229.116998,complete,293,3162,0.03695824956753471,49151.0,1119,4991.0,744,4991.0,0.10154422087037904,375,0,0,0.0,0.10154422087037904,0.5007927900319898,4991.0,0.11477862452662584,0.28970861434936523,0.10837626457214355,0.046152353286743164,0.0012137889862060547,0.0,838,[375],exhausted,
Basketball_temporal/1989,Basketball_coarse,A4,712779aad638f619,1787630279.1360717,complete,293,3162,0.03695824956753471,49151.0,1119,4991.0,744,4991.0,0.10154422087037904,375,0,0,0.0,0.10148318447234034,0.49476108338589164,4988.0,0.11480200102856608,0.39830756187438965,0.10908842086791992,0.046480417251586914,0.10864543914794922,0.0,838,[375],exhausted,
Basketball_temporal/1989,Basketball_coarse,A6,712779aad638f619,1787630645.4848523,complete,293,3162,0.03695824956753471,49151.0,1119,4991.0,745,4939.0,0.10048625663770828,374,39,10,52.0,0.10038452930764379,0.5020282870301574,4934.0,0.11643835616438356,2.772783041000366,0.10802221298217773,0.04560661315917969,0.10869526863098145,2.374894380569458,838,[375],exhausted,
Basketball_temporal/1990,Basketball_coarse,A0,712779aad638f619,1787630198.586894,complete,292,3192,0.03756531563338512,48502.0,1144,9102.0,1144,9102.0,0.18766236443857987,0,0,0,0.0,0.12213929322502165,0.47842395659082626,5924.0,0.0,0.14165735244750977,0.11546993255615234,1.9073486328125e-06,0.0010514259338378906,0.0,808,[0],phase_b_disabled,
Basketball_temporal/1990,Basketball_coarse,A2,712779aad638f619,1787630229.40829,complete,292,3192,0.03756531563338512,48502.0,1144,4954.0,724,4954.0,0.10214011793328111,420,0,0,0.0,0.10214011793328111,0.4708540670957008,4954.0,0.10335169232217671,0.3093597888946533,0.11432027816772461,0.05319929122924805,0.0012445449829101562,0.0,808,[420],exhausted,
Basketball_temporal/1990,Basketball_coarse,A4,712779aad638f619,1787630279.5370135,complete,292,3192,0.03756531563338512,48502.0,1144,4954.0,724,4954.0,0.10214011793328111,420,0,0,0.0,0.10203702940084945,0.46228819723358466,4949.0,0.10337522948736054,0.4185512065887451,0.11569070816040039,0.05333113670349121,0.108734130859375,0.0,808,[420],exhausted,
Basketball_temporal/1990,Basketball_coarse,A6,712779aad638f619,1787630648.2764242,complete,292,3192,0.03756531563338512,48502.0,1144,4954.0,727,4902.0,0.10106799719599192,417,81,10,52.0,0.10049070141437466,0.4703678409030276,4874.0,0.11307254154309655,3.3922221660614014,0.1132516860961914,0.05306363105773926,0.10768985748291016,2.976595401763916,808,[420],exhausted,
Basketball_temporal/1991,Basketball_coarse,A0,712779aad638f619,1787630193.5184946,complete,295,3218,0.03710365502133057,52133.0,1160,9303.0,1160,9303.0,0.17844743252834097,0,0,0,0.0,0.11844704889417451,0.46378504429214873,6175.0,0.0,0.16016507148742676,0.13409042358398438,1.9073486328125e-06,0.0010662078857421875,0.0,875,[0],phase_b_disabled,
Basketball_temporal/1991,Basketball_coarse,A1,712779aad638f619,1787630207.5302951,complete,295,3218,0.03710365502133057,52133.0,1160,6139.0,810,6139.0,0.11775650739454856,350,0,0,0.0,0.11775650739454856,0.4590799850273461,6139.0,0.012729159460394327,0.2994077205657959,0.13350820541381836,0.005103349685668945,0.0012001991271972656,0.0,875,"[345, 5, 0]",no_change,
Basketball_temporal/1991,Basketball_coarse,A2,712779aad638f619,1787630216.7826774,complete,295,3218,0.03710365502133057,52133.0,1160,5308.0,749,5308.0,0.10181650777818273,411,0,0,0.0,0.10181650777818273,0.4577467651395487,5308.0,0.09678312002767209,0.34908556938171387,0.13597440719604492,0.048023223876953125,0.0013380050659179688,0.0,875,[411],exhausted,
