comparison,metric,n_families,families,wins_b,ties,losses_b,mean_delta_b_minus_a,median_delta_b_minus_a,bootstrap_ci95_lo,bootstrap_ci95_hi,note
A0_vs_A2_family_agg,upset_simple,7,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo,6,0,1,0.02003816472206455,-0.019263413281000896,-0.023573111167551945,0.09972724509517693,each_family_one_median_point;_no_family_wilcoxon
A1_vs_A2_family_agg,upset_simple,7,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo,6,0,1,0.01864991391757079,-0.016862544711292796,-0.02857657502796805,0.10104069241928394,each_family_one_median_point;_no_family_wilcoxon
A2_vs_A5_family_agg,removed_final_weight,7,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo,3,2,2,-52.285714285714285,0.0,-137.42857142857142,3.357142857142857,each_family_one_median_point;_no_family_wilcoxon
A4_vs_A6_family_agg,removed_final_weight,7,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo,5,2,0,-52.699999999999996,-5.399999999999977,-135.5,-2.8542857142857168,each_family_one_median_point;_no_family_wilcoxon
A0_vs_A4_family_agg,upset_simple,7,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo,6,0,1,0.01882985895372834,-0.019417475728155338,-0.023978291640954684,0.09728684964550127,each_family_one_median_point;_no_family_wilcoxon
