comparator,n,wins,ties,losses,mean_margin,median_margin,median_runtime_ratio_ours_over_comp
SpringRank,77,41,0,36,0.08678907097934128,-0.07843136787414551,17.8621246421809
davidScore,77,40,1,36,0.06279853624956948,-0.02424246072769165,337.10145654169077
SVD_NRS,77,40,2,35,0.007051498355803553,-0.024844646453857422,180.11483704652298
