dataset,family,config,status,n,m,upset_simple,upset_naive,upset_ratio,runtime_total_sec,error
Basketball_temporal/1985,Basketball_coarse,A4,complete,282,2904,0.471674352884,0.127989932895,0.550765514374,1.923056,
Basketball_temporal/1986,Basketball_coarse,A4,complete,283,2937,0.497088193893,0.145174711943,0.562207996845,0.228044,
Basketball_temporal/1987,Basketball_coarse,A4,complete,290,3045,0.536352813244,0.156138256192,0.574573457241,0.235036,
Basketball_temporal/1988,Basketball_coarse,A4,complete,290,3099,0.493333339691,0.14392156899,0.557573795319,0.218471,
Basketball_temporal/1989,Basketball_coarse,A4,complete,293,3162,0.524043917656,0.15145778656,0.573798894882,0.246436,
Basketball_temporal/1990,Basketball_coarse,A4,complete,292,3192,0.503591656685,0.147448018193,0.546913981438,0.257905,
Basketball_temporal/1991,Basketball_coarse,A4,complete,295,3218,0.528624534607,0.152788102627,0.558751165867,0.273479,
Basketball_temporal/1992,Basketball_coarse,A4,complete,298,3238,0.490188807249,0.14142909646,0.555114150047,0.276519,
Basketball_temporal/1993,Basketball_coarse,A4,complete,298,3088,0.487470626831,0.143304616213,0.564459443092,0.242093,
Basketball_temporal/1994,Basketball_coarse,A4,complete,301,3144,0.462720990181,0.130668714643,0.543605804443,0.249222,
Basketball_temporal/1995,Basketball_coarse,A4,complete,302,3182,0.507558584213,0.143612995744,0.548139572144,0.255127,
Basketball_temporal/1996,Basketball_coarse,A4,complete,305,3256,0.54275226593,0.158532112837,0.576363921165,0.259207,
Basketball_temporal/1997,Basketball_coarse,A4,complete,305,3333,0.556785702705,0.155000001192,0.591910481453,0.289946,
Basketball_temporal/1998,Basketball_coarse,A4,complete,306,3321,0.532223820686,0.145538240671,0.595553815365,0.259639,
Basketball_temporal/1999,Basketball_coarse,A4,complete,310,3385,0.571677088737,0.169798195362,0.592665493488,0.268516,
Basketball_temporal/2000,Basketball_coarse,A4,complete,318,3475,0.555153131485,0.155087262392,0.603250980377,0.286876,
Basketball_temporal/2001,Basketball_coarse,A4,complete,318,3405,0.507671296597,0.142516195774,0.588465809822,0.279403,
Basketball_temporal/2002,Basketball_coarse,A4,complete,321,3505,0.559000015259,0.158000007272,0.595065593719,0.283332,
Basketball_temporal/2003,Basketball_coarse,A4,complete,327,3560,0.579908668995,0.168949767947,0.598685204983,0.375028,
Basketball_temporal/2004,Basketball_coarse,A4,complete,326,3527,0.517480194569,0.149406328797,0.590162575245,0.282565,
Basketball_temporal/2005,Basketball_coarse,A4,complete,330,3622,0.53301435709,0.152153104544,0.599359691143,0.321391,
Basketball_temporal/2006,Basketball_coarse,A4,complete,334,3695,0.571250796318,0.167081519961,0.601867198944,0.326771,
Basketball_temporal/2007,Basketball_coarse,A4,complete,336,3974,0.548815727234,0.155401498079,0.601147890091,0.355848,
Basketball_temporal/2008,Basketball_coarse,A4,complete,342,4051,0.587225675583,0.175295442343,0.604286670685,0.344018,
Basketball_temporal/2009,Basketball_coarse,A4,complete,347,4155,0.56865465641,0.166712895036,0.588134169579,0.378700,
Basketball_temporal/2010,Basketball_coarse,A4,complete,347,4133,0.540125966072,0.154752120376,0.603028774261,0.349653,
Basketball_temporal/2011,Basketball_coarse,A4,complete,345,4086,0.556881248951,0.157325193286,0.601702868938,0.348641,
Basketball_temporal/2012,Basketball_coarse,A4,complete,345,4126,0.524910569191,0.150839522481,0.592884778976,0.345932,
Basketball_temporal/2013,Basketball_coarse,A4,complete,347,4153,0.56169629097,0.157865941525,0.607138752937,0.363326,
Basketball_temporal/2014,Basketball_coarse,A4,complete,351,4196,0.555646240711,0.155646264553,0.602136611938,0.386309,
Basketball_temporal/finer1985,Basketball_finer,A4,complete,282,4814,0.76939201355,0.242348015308,0.128539472818,0.367040,
Basketball_temporal/finer1986,Basketball_finer,A4,complete,283,4862,0.670828104019,0.211402416229,0.118344739079,0.359327,
Basketball_temporal/finer1987,Basketball_finer,A4,complete,290,5088,0.80682271719,0.245140820742,0.120903819799,0.394701,
Basketball_temporal/finer1988,Basketball_finer,A4,complete,290,5170,0.768206715584,0.23844948411,0.11989364773,0.396979,
Basketball_temporal/finer1989,Basketball_finer,A4,complete,293,5318,0.787821471691,0.246596068144,0.102507561445,0.425123,
Basketball_temporal/finer1990,Basketball_finer,A4,complete,292,5350,0.745564341545,0.233673080802,0.12524650991,0.423006,
Basketball_temporal/finer1991,Basketball_finer,A4,complete,295,5420,0.757249057293,0.228624537587,0.122651576996,0.426564,
Basketball_temporal/finer1992,Basketball_finer,A4,complete,298,5444,0.693303763866,0.212726593018,0.11532702297,0.432918,
Basketball_temporal/finer1993,Basketball_finer,A4,complete,298,5160,0.692337751389,0.218530103564,0.124990232289,0.388758,
Basketball_temporal/finer1994,Basketball_finer,A4,complete,301,5252,0.749135613441,0.233960807323,0.118569105864,0.432167,
Basketball_temporal/finer1995,Basketball_finer,A4,complete,302,5336,0.757644414902,0.237825587392,0.120828226209,0.412877,
Basketball_temporal/finer1996,Basketball_finer,A4,complete,305,5498,0.821677029133,0.249359205365,0.116188466549,0.447271,
Basketball_temporal/finer1997,Basketball_finer,A4,complete,305,5628,0.815488934517,0.242683798075,0.130249097943,0.452383,
Basketball_temporal/finer1998,Basketball_finer,A4,complete,306,5684,0.786775112152,0.242574259639,0.11639213562,0.465169,
Basketball_temporal/finer1999,Basketball_finer,A4,complete,310,5788,0.822407186031,0.244883805513,0.111676946282,0.478475,
Basketball_temporal/finer2000,Basketball_finer,A4,complete,318,6274,0.811018586159,0.244074314833,0.11982024461,0.560918,
Basketball_temporal/finer2001,Basketball_finer,A4,complete,318,6116,0.808896183968,0.247446462512,0.119222484529,0.522669,
Basketball_temporal/finer2002,Basketball_finer,A4,complete,321,6192,0.794012367725,0.244386598468,0.130057871342,0.513244,
Basketball_temporal/finer2003,Basketball_finer,A4,complete,327,6356,0.851582288742,0.255379736423,0.119937665761,0.587797,
Basketball_temporal/finer2004,Basketball_finer,A4,complete,326,6316,0.827586233616,0.255747139454,0.119941018522,0.560790,
Basketball_temporal/finer2005,Basketball_finer,A4,complete,330,6476,0.84503108263,0.258074522018,0.123649604619,0.585106,
Basketball_temporal/finer2006,Basketball_finer,A4,complete,334,6680,0.835443019867,0.258589506149,0.117410428822,0.612108,
Basketball_temporal/finer2007,Basketball_finer,A4,complete,336,7186,0.804994404316,0.248597085476,0.130197137594,0.663143,
Basketball_temporal/finer2008,Basketball_finer,A4,complete,342,7386,0.832880437374,0.253260880709,0.123427115381,0.694360,
Basketball_temporal/finer2009,Basketball_finer,A4,complete,347,7478,0.851092517376,0.265174001455,0.120941191912,0.716019,
Basketball_temporal/finer2010,Basketball_finer,A4,complete,347,7538,0.802297651768,0.249265298247,0.125412419438,0.685874,
Basketball_temporal/finer2011,Basketball_finer,A4,complete,345,7504,0.847901642323,0.245656237006,0.124753266573,0.714155,
Basketball_temporal/finer2012,Basketball_finer,A4,complete,345,7580,0.802069485188,0.236932873726,0.124267458916,0.711241,
Basketball_temporal/finer2013,Basketball_finer,A4,complete,347,7616,0.871862590313,0.2623513937,0.128958866,0.745215,
Basketball_temporal/finer2014,Basketball_finer,A4,complete,351,7650,0.860183954239,0.254664927721,0.130209162831,0.767524,
Dryad_animal_society,Animal,A4,complete,21,193,0.308176100254,0.0817610099912,0.386867165565,0.009931,
FacultyHiringNetworks/Business/Business_FM_Full_,Faculty,A4,complete,113,1787,0.306099593639,0.0844991579652,0.509725749493,0.050333,
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,Faculty,A4,complete,206,1407,0.193319112062,0.061122957617,0.588793158531,0.061745,
FacultyHiringNetworks/History/History_FM_Full_,Faculty,A4,complete,145,1204,0.186046510935,0.0564784035087,0.503461658955,0.050262,
Football_data_England_Premier_League/England_2009_2010,Football_coarse,A4,complete,20,215,0.493902444839,0.12804877758,0.493045121431,0.008906,
Football_data_England_Premier_League/England_2010_2011,Football_coarse,A4,complete,20,219,0.968944072723,0.242236018181,0.681394636631,0.008883,
Football_data_England_Premier_League/England_2011_2012,Football_coarse,A4,complete,20,226,0.727272748947,0.181818187237,0.584694445133,0.008520,
Football_data_England_Premier_League/England_2012_2013,Football_coarse,A4,complete,20,216,0.810457527637,0.202614381909,0.580772578716,0.009005,
Football_data_England_Premier_League/England_2013_2014,Football_coarse,A4,complete,20,222,0.484848499298,0.121212124825,0.527941823006,0.009009,
Football_data_England_Premier_League/England_2014_2015,Football_coarse,A4,complete,20,107,0.710280358791,0.177570089698,0.735185921192,0.008053,
Football_data_England_Premier_League/finerEngland_2009_2010,Football_finer,A4,complete,20,380,0.536585390568,0.134146347642,0.163708165288,0.012162,
Football_data_England_Premier_League/finerEngland_2010_2011,Football_finer,A4,complete,20,380,1.04968941212,0.267080754042,0.203668937087,0.013741,
Football_data_England_Premier_League/finerEngland_2011_2012,Football_finer,A4,complete,20,380,0.757575750351,0.193939387798,0.199292957783,0.013499,
Football_data_England_Premier_League/finerEngland_2012_2013,Football_finer,A4,complete,20,380,0.810457527637,0.202614381909,0.173189967871,0.012746,
Football_data_England_Premier_League/finerEngland_2013_2014,Football_finer,A4,complete,20,380,0.654545426369,0.163636356592,0.204074680805,0.012862,
Football_data_England_Premier_League/finerEngland_2014_2015,Football_finer,A4,complete,20,300,0.822429895401,0.20560747385,0.358025550842,0.010934,
Halo2BetaData,Halo,A4,complete,602,5010,1.69947314262,0.431822985411,0.958232343197,0.591754,
