dataset,family,n,m,canonical_A4,has_SpringRank,has_davidScore,has_SVD_NRS,has_btl,has_PageRank,has_syncRank,has_serialRank,has_rankCentrality,has_DIGRAC,has_ib
Basketball_temporal/1985,Basketball_coarse,282,2904,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1986,Basketball_coarse,283,2937,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1987,Basketball_coarse,290,3045,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1988,Basketball_coarse,290,3099,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1989,Basketball_coarse,293,3162,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1990,Basketball_coarse,292,3192,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1991,Basketball_coarse,295,3218,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1992,Basketball_coarse,298,3238,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1993,Basketball_coarse,298,3088,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1994,Basketball_coarse,301,3144,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1995,Basketball_coarse,302,3182,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1996,Basketball_coarse,305,3256,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1997,Basketball_coarse,305,3333,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1998,Basketball_coarse,306,3321,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/1999,Basketball_coarse,310,3385,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2000,Basketball_coarse,318,3475,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2001,Basketball_coarse,318,3405,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2002,Basketball_coarse,321,3505,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2003,Basketball_coarse,327,3560,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2004,Basketball_coarse,326,3527,True,True,True,True,True,True,True,True,True,True,True
Basketball_temporal/2005,Basketball_coarse,330,3622,True,True,True,True,True,True,True,True,True,True,True
