baseline,metric,n_common,ours_wins,ties,ours_loses,mean_delta,median_delta,wilcoxon_p,bootstrap_median_CI_lo,bootstrap_median_CI_hi,median_ours,median_baseline,median_paired_ratio,ours_faster,ours_slower
SpringRank,runtime_sec,77,15,0,62,0.291019008622603,0.2886911966476441,3.966816728576838e-12,0.2190578336181641,0.31915041834793056,0.348641,0.0579302787780761,5.6699935065938725,15,62
davidScore,runtime_sec,77,0,0,77,0.35253303942593667,0.34542790433502196,2.4628307660238145e-14,0.2795877003097535,0.385999234779358,0.348641,0.0027907609939575,107.60912620699418,0,77
SVD_NRS,runtime_sec,77,0,0,77,0.3501644517834156,0.34283193132019046,2.4628307660238145e-14,0.2769097589874268,0.3835797391967774,0.348641,0.0054040670394897,59.56482017940746,0,77
btl,runtime_sec,77,19,0,58,0.20036505655660258,0.2163342477188111,1.4648108001299236e-06,0.08068044418334971,0.3458504043655396,0.348641,0.0456903219223022,7.930746701549306,19,58
PageRank,runtime_sec,77,0,0,77,0.35363144341852765,0.3463098861846924,2.4628307660238145e-14,0.2805847191238404,0.38727324829864507,0.348641,0.0016903162002563,169.52724434846087,0,77
syncRank,runtime_sec,77,48,0,29,0.0071680108588082735,-0.007834410087585399,0.1842581930614795,-0.0665323811569214,-0.003441207107543899,0.348641,0.3924108743667602,0.8006313542439605,48,29
serialRank,runtime_sec,77,0,0,77,0.34684670336686174,0.33749629041290286,2.4628307660238145e-14,0.2725220941925049,0.3809395156936646,0.348641,0.0085554122924804,32.3257469357204,0,77
DIGRAC,runtime_sec,60,60,0,0,-16.78204436828041,-16.6946467402153,1.6295557943119345e-11,-16.948716732887267,-16.4629386688509,0.3825045,17.08358825445175,0.02246870761407816,60,0
ib,runtime_sec,60,60,0,0,-23.673471742961247,-12.890966956932067,1.6295557943119345e-11,-23.11412350997925,-7.899628003757477,0.3825045,13.263784956932067,0.027379076443498847,60,0
rankCentrality,runtime_sec,77,38,0,39,-0.048329023325536166,0.004056565780639648,0.19804623455861126,-0.08368040158081053,0.007787616973876954,0.348641,0.31551146507263184,1.0300511629063889,38,39
