dataset,baseline,ours,baseline_val,delta,family,runtime_ours,runtime_base
Basketball_temporal/1985,SpringRank,0.09954807003679648,0.7620646357536316,-0.6625165657168351,Basketball_coarse,0.3315310478210449,0.0644466638565063
Basketball_temporal/1986,SpringRank,0.09907289153777021,0.7770382761955261,-0.6779653846577559,Basketball_coarse,0.3557884693145752,0.0568585634231567
Basketball_temporal/1987,SpringRank,0.10161720763668712,0.8216130137443542,-0.7199958061076671,Basketball_coarse,0.3726480007171631,0.0571249485015869
Basketball_temporal/1988,SpringRank,0.1018217647428775,0.7435294389724731,-0.6417076742295956,Basketball_coarse,0.34849095344543457,0.0634405374526977
Basketball_temporal/1989,SpringRank,0.10148318447234034,0.7482014298439026,-0.6467182453715623,Basketball_coarse,0.39830756187438965,0.057374882698059
Basketball_temporal/1990,SpringRank,0.10203702940084945,0.7500945329666138,-0.6480575035657643,Basketball_coarse,0.4185512065887451,0.0574763059616088
Basketball_temporal/1991,SpringRank,0.1017589626532139,0.7970260381698608,-0.6952670755166469,Basketball_coarse,0.45845675468444824,0.0573742389678955
Basketball_temporal/1992,SpringRank,0.09924514059256463,0.7523139715194702,-0.6530688309269056,Basketball_coarse,0.4622340202331543,0.0574611663818359
Basketball_temporal/1993,SpringRank,0.10373956938291955,0.7454972863197327,-0.6417577169368132,Basketball_coarse,0.3958570957183838,0.0571964502334594
Basketball_temporal/1994,SpringRank,0.09959269992950576,0.7409684658050537,-0.6413757658755479,Basketball_coarse,0.40102529525756836,0.0573083639144897
Basketball_temporal/1995,SpringRank,0.10430575713594581,0.7694633603096008,-0.665157603173655,Basketball_coarse,0.4095480442047119,0.0573991298675537
Basketball_temporal/1996,SpringRank,0.10829726673685032,0.8249541521072388,-0.7166568853703884,Basketball_coarse,0.4154398441314697,0.0573535919189453
Basketball_temporal/1997,SpringRank,0.11249687722197667,0.8142856955528259,-0.7017888183308493,Basketball_coarse,0.482025146484375,0.0576370954513549
Basketball_temporal/1998,SpringRank,0.10255286721280243,0.7733711004257202,-0.6708182332129178,Basketball_coarse,0.4201779365539551,0.0585224151611328
Basketball_temporal/1999,SpringRank,0.10915181511940832,0.8308976888656616,-0.7217458737462533,Basketball_coarse,0.42891526222229004,0.0656642913818359
Basketball_temporal/2000,SpringRank,0.09407899513540986,0.844254195690155,-0.7501752005547452,Basketball_coarse,0.4833829402923584,0.0577153921127319
Basketball_temporal/2001,SpringRank,0.09947271979357541,0.7541766166687012,-0.6547038968751258,Basketball_coarse,0.45178699493408203,0.0577985525131225
Basketball_temporal/2002,SpringRank,0.1078253617144722,0.7960000038146973,-0.688174642100225,Basketball_coarse,0.44599270820617676,0.0578081846237182
Basketball_temporal/2003,SpringRank,0.10699407219805833,0.8075668811798096,-0.7005728089817512,Basketball_coarse,0.5551548004150391,0.0592821598052978
Basketball_temporal/2004,SpringRank,0.10703289731484764,0.7506596446037292,-0.6436267472888816,Basketball_coarse,0.47967028617858887,0.0650137662887573
Basketball_temporal/2005,SpringRank,0.10206150114930046,0.7783094048500061,-0.6762479037007056,Basketball_coarse,0.5709841251373291,0.0577080249786376
Basketball_temporal/2006,SpringRank,0.11012237825349265,0.810205340385437,-0.7000829621319443,Basketball_coarse,0.5363562107086182,0.0576316356658935
Basketball_temporal/2007,SpringRank,0.09706538700313763,0.7891392111778259,-0.6920738241746883,Basketball_coarse,0.5904037952423096,0.0596447706222534
Basketball_temporal/2008,SpringRank,0.1071074648688165,0.8159819841384888,-0.7088745192696723,Basketball_coarse,0.6342606544494629,0.0651484966278076
Basketball_temporal/2009,SpringRank,0.10184676976721661,0.7778086066246033,-0.6759618368573866,Basketball_coarse,0.6444449424743652,0.0596181154251098
Basketball_temporal/2010,SpringRank,0.09723902936118718,0.7877293825149536,-0.6904903531537664,Basketball_coarse,0.6764535903930664,0.0579302787780761
Basketball_temporal/2011,SpringRank,0.09933557542449348,0.8091009855270386,-0.7097654101025451,Basketball_coarse,0.5686798095703125,0.0599498033523559
Basketball_temporal/2012,SpringRank,0.09731205512399649,0.7563996911048889,-0.6590876359808924,Basketball_coarse,0.5631849765777588,0.0603796958923339
Basketball_temporal/2013,SpringRank,0.10126194658887618,0.8010944128036499,-0.6998324662147737,Basketball_coarse,0.5802896022796631,0.0581092119216919
Basketball_temporal/2014,SpringRank,0.10502980442386324,0.8043537139892578,-0.6993239095653946,Basketball_coarse,0.6306684017181396,0.064485764503479
Basketball_temporal/finer1985,SpringRank,0.4728093100058731,0.7563941478729248,-0.2835848378670517,Basketball_finer,0.6062853336334229,0.0574210405349731
Basketball_temporal/finer1986,SpringRank,0.4702051616042291,0.7707033157348633,-0.3004981541306342,Basketball_finer,0.5953209400177002,0.06362726688385
Basketball_temporal/finer1987,SpringRank,0.4728924684953906,0.8187227249145508,-0.34583025641916015,Basketball_finer,0.6393730640411377,0.0574530839920044
Basketball_temporal/finer1988,SpringRank,0.4716996154359819,0.775254487991333,-0.30355487255535113,Basketball_finer,0.6525883674621582,0.0573367595672607
Basketball_temporal/finer1989,SpringRank,0.4721968450288123,0.7670196890830994,-0.29482284405428705,Basketball_finer,0.687067985534668,0.0574061155319213
Basketball_temporal/finer1990,SpringRank,0.4723817142668635,0.7882219552993774,-0.31584024103251396,Basketball_finer,0.6808476448059082,0.1151384115219116
Basketball_temporal/finer1991,SpringRank,0.4712785355842091,0.8104089498519897,-0.3391304142677806,Basketball_finer,0.7073976993560791,0.05640709400177
Basketball_temporal/finer1992,SpringRank,0.4696221612924022,0.7266000509262085,-0.2569778896338063,Basketball_finer,0.699941873550415,0.0639534711837768
Basketball_temporal/finer1993,SpringRank,0.47060624219759467,0.753713846206665,-0.28310760400907037,Basketball_finer,0.6414239406585693,0.0586988925933837
Basketball_temporal/finer1994,SpringRank,0.4711097091749058,0.7376104593276978,-0.26650075015279195,Basketball_finer,0.6920342445373535,0.0571654319763183
Basketball_temporal/finer1995,SpringRank,0.47000430467249615,0.7867119908332825,-0.3167076861607863,Basketball_finer,0.672555685043335,0.0564072847366333
Basketball_temporal/finer1996,SpringRank,0.471414140428109,0.8055657148361206,-0.33415157440801163,Basketball_finer,0.7099428176879883,0.0723757266998291
Basketball_temporal/finer1997,SpringRank,0.47060029860479485,0.8251249194145203,-0.3545246208097254,Basketball_finer,0.7394981384277344,0.0570473909378051
Basketball_temporal/finer1998,SpringRank,0.46943785728622295,0.7835926413536072,-0.31415478406738423,Basketball_finer,0.7637796401977539,0.064402961730957
Basketball_temporal/finer1999,SpringRank,0.4699564214217083,0.8102670907974243,-0.340310669375716,Basketball_finer,0.7777316570281982,0.0648465394973754
Basketball_temporal/finer2000,SpringRank,0.46960746728946623,0.8443305492401123,-0.3747230819506461,Basketball_finer,0.898984432220459,0.0571120738983154
Basketball_temporal/finer2001,SpringRank,0.47070134064540997,0.8052718043327332,-0.3345704636873232,Basketball_finer,0.921804666519165,0.0647168159484863
Basketball_temporal/finer2002,SpringRank,0.4704714167588007,0.8682069778442383,-0.39773556108543756,Basketball_finer,0.8271515369415283,0.0578293561935424
Basketball_temporal/finer2003,SpringRank,0.47199018067410825,0.8658227920532227,-0.3938326113791144,Basketball_finer,0.9257514476776123,0.0659023761749267
Basketball_temporal/finer2004,SpringRank,0.4720007689199272,0.7726691961288452,-0.300668427208918,Basketball_finer,0.9253487586975098,0.0663400888442993
Basketball_temporal/finer2005,SpringRank,0.4707869065616504,0.8422360420227051,-0.3714491354610547,Basketball_finer,0.9921140670776367,0.0784100770950317
Basketball_temporal/finer2006,SpringRank,0.4711257324474887,0.8583484292030334,-0.38722269675554477,Basketball_finer,0.9760556221008301,0.0724388360977172
Basketball_temporal/finer2007,SpringRank,0.4702092704847424,0.8563411831855774,-0.38613191270083497,Basketball_finer,1.128194808959961,0.0745519638061523
Basketball_temporal/finer2008,SpringRank,0.470263440540082,0.8467391133308411,-0.37647567279075905,Basketball_finer,1.1383209228515625,0.0669792890548706
Basketball_temporal/finer2009,SpringRank,0.4708414605116339,0.8362557291984558,-0.3654142686868219,Basketball_finer,1.1119933128356934,0.0640719890594482
Basketball_temporal/finer2010,SpringRank,0.46966603376076166,0.8153887391090393,-0.34572270534827765,Basketball_finer,1.1280298233032227,0.0989322662353515
Basketball_temporal/finer2011,SpringRank,0.4709752117431119,0.8532478213310242,-0.38227260958791226,Basketball_finer,1.1749513149261475,0.0649757146835327
Basketball_temporal/finer2012,SpringRank,0.46959317680053536,0.804457426071167,-0.33486424927063163,Basketball_finer,1.2135074138641357,0.0631776571273803
Basketball_temporal/finer2013,SpringRank,0.4699484148367686,0.8295904994010925,-0.35964208456432395,Basketball_finer,1.198275089263916,0.0597129106521606
Basketball_temporal/finer2014,SpringRank,0.47258252537300616,0.8409987092018127,-0.3684161838288066,Basketball_finer,1.1956918239593506,0.091240644454956
Dryad_animal_society,SpringRank,0.07880724174653887,0.5031446814537048,-0.424337439707166,Animal,0.011841297149658203,0.1613380193710327
FacultyHiringNetworks/Business/Business_FM_Full_,SpringRank,0.04884792626728111,0.405148297548294,-0.3563003712810129,Faculty,0.07682251930236816,0.1191080093383789
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,SpringRank,0.03372508942258559,0.3326225876808166,-0.298897498258231,Faculty,0.08458638191223145,0.0601994276046752
FacultyHiringNetworks/History/History_FM_Full_,SpringRank,0.030405405405405407,0.3156146109104156,-0.28520920550501017,Faculty,0.06908059120178223,0.057621955871582
Football_data_England_Premier_League/England_2009_2010,SpringRank,0.13595706618962433,0.6097561120986938,-0.4737990459090695,Football_coarse,0.013993501663208008,0.0570777416229248
Football_data_England_Premier_League/England_2010_2011,SpringRank,0.23505154639175257,1.1925466060638428,-0.9574950596720901,Football_coarse,0.014062166213989258,0.0560435771942138
Football_data_England_Premier_League/England_2011_2012,SpringRank,0.18065693430656934,0.800000011920929,-0.6193430776143596,Football_coarse,0.013452529907226562,0.0711395978927612
Football_data_England_Premier_League/England_2012_2013,SpringRank,0.21052631578947367,0.9673202633857728,-0.7567939475962991,Football_coarse,0.013401985168457031,0.05619957447052
Football_data_England_Premier_League/England_2013_2014,SpringRank,0.1371527777777778,0.7515151500701904,-0.6143623722924126,Football_coarse,0.01333475112915039,0.056000542640686
Football_data_England_Premier_League/England_2014_2015,SpringRank,0.11602209944751381,1.1214953660964966,-1.0054732666489827,Football_coarse,0.010906219482421875,0.0551134586334228
Football_data_England_Premier_League/finerEngland_2009_2010,SpringRank,0.32860938883968105,0.707317054271698,-0.37870766543201695,Football_finer,0.02268505096435547,0.0560566425323486
Football_data_England_Premier_League/finerEngland_2010_2011,SpringRank,0.395083406496927,1.2919254302978516,-0.8968420238009245,Football_finer,0.024380207061767578,0.0564642667770385
Football_data_England_Premier_League/finerEngland_2011_2012,SpringRank,0.35726795096322234,0.8727272748947144,-0.515459323931492,Football_finer,0.024309635162353516,0.0543807029724121
Football_data_England_Premier_League/finerEngland_2012_2013,SpringRank,0.3810359964881474,0.9673202633857728,-0.5862842668976254,Football_finer,0.022350549697875977,0.0569511413574218
Football_data_England_Premier_League/finerEngland_2013_2014,SpringRank,0.326241134751773,0.8969696760177612,-0.5707285412659882,Football_finer,0.022533416748046875,0.0566684961318969
Football_data_England_Premier_League/finerEngland_2014_2015,SpringRank,0.3451536643026004,1.1588784456253052,-0.8137247813227048,Football_finer,0.018468141555786133,0.0558254480361938
Halo2BetaData,SpringRank,0.4254581928253174,0.9997892379760742,-0.5743310451507568,Halo,0.74678635597229,0.0641607046127319
Basketball_temporal/1985,davidScore,0.09954807003679648,0.7519932985305786,-0.6524452284937822,Basketball_coarse,0.3315310478210449,0.0025603055953979
Basketball_temporal/1986,davidScore,0.09907289153777021,0.7787021398544312,-0.6796292483166609,Basketball_coarse,0.3557884693145752,0.002582311630249
Basketball_temporal/1987,davidScore,0.10161720763668712,0.8533968925476074,-0.7517796849109203,Basketball_coarse,0.3726480007171631,0.0026512861251831
Basketball_temporal/1988,davidScore,0.1018217647428775,0.7654901742935181,-0.6636684095506405,Basketball_coarse,0.34849095344543457,0.0026245832443237
Basketball_temporal/1989,davidScore,0.10148318447234034,0.7694055438041687,-0.6679223593318284,Basketball_coarse,0.39830756187438965,0.0026741743087768
Basketball_temporal/1990,davidScore,0.10203702940084945,0.7848771214485168,-0.6828400920476674,Basketball_coarse,0.4185512065887451,0.0026896238327026
