dataset,kind,n,m,OURS_main_method,OURS_upset_simple,OURS_upset_naive,OURS_upset_ratio,OURS_runtime_sec,best_non_ours_method,best_non_ours_upset_simple,best_non_ours_runtime_sec,best_gnn_method,best_gnn_upset_simple,best_gnn_runtime_sec
Basketball_temporal/1985,basketball_temporal,282,2904,INS3,0.620000,0.160000,0.560000,0.680000,SVD_NRS,0.620000,0.670000,DIGRAC_dist,0.716240,15.553035
Basketball_temporal/1986,basketball_temporal,283,2937,INS3,0.620000,0.150000,0.560000,0.710000,SVD_NRS,0.620000,0.710000,DIGRAC_dist,0.752413,15.611209
Basketball_temporal/1987,basketball_temporal,290,3045,INS3,0.660000,0.160000,0.580000,0.740000,SVD_NRS,0.660000,0.730000,DIGRAC_dist,0.803973,15.926481
Basketball_temporal/1988,basketball_temporal,290,3099,INS3,0.630000,0.160000,0.570000,0.750000,SVD_NRS,0.630000,0.740000,DIGRAC_dist,0.720314,15.788930
Basketball_temporal/1989,basketball_temporal,293,3162,INS3,0.630000,0.160000,0.570000,0.810000,SVD_NRS,0.630000,0.800000,ib_proximal_baseline,0.748201,6.892814
Basketball_temporal/1990,basketball_temporal,292,3192,INS3,0.600000,0.150000,0.560000,0.800000,SVD_NRS,0.600000,0.800000,DIGRAC_dist,0.727561,15.996162
Basketball_temporal/1991,basketball_temporal,295,3218,INS3,0.640000,0.160000,0.560000,0.870000,SVD_NRS,0.640000,0.870000,DIGRAC_dist,0.767138,16.145581
Basketball_temporal/1992,basketball_temporal,298,3238,INS3,0.630000,0.160000,0.550000,0.860000,SVD_NRS,0.630000,0.850000,DIGRAC_dist,0.724324,16.096770
Basketball_temporal/1993,basketball_temporal,298,3088,INS3,0.620000,0.160000,0.570000,0.760000,SVD_NRS,0.620000,0.760000,DIGRAC_dist,0.731872,16.178821
Basketball_temporal/1994,basketball_temporal,301,3144,INS3,0.610000,0.150000,0.560000,0.800000,SVD_NRS,0.610000,0.800000,DIGRAC_dist,0.735281,16.255655
Basketball_temporal/1995,basketball_temporal,302,3182,INS3,0.640000,0.160000,0.570000,0.830000,SVD_NRS,0.650000,0.830000,DIGRAC_dist,0.757823,16.245889
Basketball_temporal/1996,basketball_temporal,305,3256,INS3,0.690000,0.170000,0.580000,0.910000,SVD_NRS,0.690000,0.850000,DIGRAC_dist,0.805725,16.353229
Basketball_temporal/1997,basketball_temporal,305,3333,INS3,0.670000,0.170000,0.580000,0.950000,SVD_NRS,0.670000,0.930000,DIGRAC_dist,0.792714,16.336157
Basketball_temporal/1998,basketball_temporal,306,3321,INS3,0.640000,0.160000,0.590000,0.870000,SVD_NRS,0.640000,0.860000,DIGRAC_dist,0.772663,16.409050
Basketball_temporal/1999,basketball_temporal,310,3385,INS3,0.700000,0.180000,0.600000,0.900000,SVD_NRS,0.700000,0.890000,DIGRAC_dist,0.810717,16.474665
Basketball_temporal/2000,basketball_temporal,318,3475,INS3,0.660000,0.170000,0.600000,0.940000,SVD_NRS,0.670000,0.930000,DIGRAC_dist,0.802502,16.635638
Basketball_temporal/2001,basketball_temporal,318,3405,INS3,0.620000,0.150000,0.590000,0.890000,SVD_NRS,0.620000,0.890000,DIGRAC_dist,0.749267,16.703493
Basketball_temporal/2002,basketball_temporal,321,3505,INS3,0.670000,0.170000,0.600000,0.950000,SVD_NRS,0.670000,0.940000,DIGRAC_dist,0.779733,16.822150
Basketball_temporal/2003,basketball_temporal,327,3560,INS3,0.690000,0.170000,0.610000,0.960000,SVD_NRS,0.690000,0.940000,DIGRAC_dist,0.804827,16.978374
Basketball_temporal/2004,basketball_temporal,326,3527,INS3,0.610000,0.150000,0.580000,0.930000,SVD_NRS,0.610000,0.920000,DIGRAC_dist,0.722296,16.927690
Basketball_temporal/2005,basketball_temporal,330,3622,INS3,0.660000,0.160000,0.600000,1.020000,SVD_NRS,0.660000,1.010000,ib_proximal_baseline,0.778309,8.443991
Basketball_temporal/2006,basketball_temporal,334,3695,INS3,0.680000,0.170000,0.600000,1.030000,SVD_NRS,0.680000,1.030000,DIGRAC_dist,0.788799,17.275488
Basketball_temporal/2007,basketball_temporal,336,3974,INS3,0.670000,0.170000,0.610000,1.140000,SVD_NRS,0.670000,1.130000,ib_proximal_baseline,0.789139,8.123276
Basketball_temporal/2008,basketball_temporal,342,4051,INS3,0.690000,0.170000,0.610000,1.160000,SVD_NRS,0.690000,1.160000,DIGRAC_dist,0.809229,17.589755
Basketball_temporal/2009,basketball_temporal,347,4155,INS3,0.650000,0.160000,0.590000,1.250000,SVD_NRS,0.650000,1.240000,DIGRAC_dist,0.757725,17.233449
Basketball_temporal/2010,basketball_temporal,347,4133,INS3,0.650000,0.160000,0.600000,1.160000,SVD_NRS,0.650000,1.150000,DIGRAC_dist,0.772610,17.933465
Basketball_temporal/2011,basketball_temporal,345,4086,INS3,0.680000,0.170000,0.610000,1.150000,SVD_NRS,0.680000,1.140000,DIGRAC_dist,0.778801,18.017490
Basketball_temporal/2012,basketball_temporal,345,4126,INS3,0.630000,0.160000,0.590000,1.140000,SVD_NRS,0.630000,1.130000,DIGRAC_dist,0.734049,17.744470
Basketball_temporal/2013,basketball_temporal,347,4153,INS3,0.660000,0.160000,0.610000,1.180000,SVD_NRS,0.660000,1.170000,DIGRAC_dist,0.778550,17.900455
Basketball_temporal/2014,basketball_temporal,351,4196,INS3,0.680000,0.170000,0.610000,1.230000,SVD_NRS,0.680000,1.210000,DIGRAC_dist,0.788354,18.082948
Basketball_temporal/finer1985,basketball_temporal,282,4814,INS3,1.250000,0.310000,0.140000,2.800000,btl,0.830000,0.000000,ib_proximal_baseline,0.756059,27.948553
Basketball_temporal/finer1986,basketball_temporal,283,4862,INS3,1.090000,0.270000,0.130000,2.860000,btl,0.840000,0.000000,ib_proximal_baseline,0.770703,78.741394
Basketball_temporal/finer1987,basketball_temporal,290,5088,INS3,1.210000,0.300000,0.140000,3.130000,btl,0.890000,0.000000,ib_proximal_baseline,0.818564,17.353725
