dataset,method,upset_simple_mean,upset_simple_std,upset_ratio_mean,upset_ratio_std,upset_naive_mean,upset_naive_std,runtime_sec_mean,runtime_sec_std
Dryad_animal_society,SpringRank,0.50,0.00,0.42,0.00,0.13,0.00,0.16,0.48
Dryad_animal_society,syncRank,1.52,0.08,0.81,0.02,0.38,0.02,0.02,0.02
Dryad_animal_society,serialRank,2.06,0.35,0.88,0.00,0.56,0.09,0.00,0.00
Dryad_animal_society,btl,0.45,0.00,0.22,0.00,0.11,0.00,0.91,0.01
Dryad_animal_society,davidScore,0.33,0.00,0.41,0.00,0.08,0.00,0.00,0.00
Dryad_animal_society,eigenvectorCentrality,0.55,0.00,0.54,0.17,0.14,0.00,0.00,0.00
Dryad_animal_society,PageRank,0.65,0.00,0.44,0.00,0.16,0.00,0.00,0.00
Dryad_animal_society,rankCentrality,1.96,0.00,1.34,0.00,0.49,0.00,0.00,0.00
Dryad_animal_society,SVD_RS,1.03,0.00,0.62,0.00,0.26,0.00,0.01,0.02
Dryad_animal_society,SVD_NRS,0.53,0.00,0.42,0.00,0.13,0.00,0.00,0.00
Dryad_animal_society,OURS_MFAS_INS1,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
Dryad_animal_society,OURS_MFAS_INS2,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
Dryad_animal_society,OURS_MFAS_INS3,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
Dryad_animal_society,OURS_MFAS,0.38,0.00,0.40,0.00,0.09,0.00,0.02,0.00
finance,SpringRank,1.63,0.00,0.26,0.00,0.41,0.00,0.73,0.16
finance,serialRank,1.61,0.00,0.27,0.00,0.40,0.00,3.75,0.02
finance,btl,1.78,0.01,0.28,0.00,0.45,0.00,0.25,0.00
finance,davidScore,1.63,0.00,0.64,0.00,0.41,0.00,0.21,0.00
finance,eigenvectorCentrality,1.74,0.00,0.27,0.00,0.44,0.00,0.07,0.00
finance,PageRank,1.75,0.00,0.26,0.00,0.44,0.00,0.01,0.00
finance,rankCentrality,1.88,0.00,0.59,0.00,0.47,0.00,0.40,0.01
finance,SVD_RS,1.64,0.00,0.26,0.00,0.41,0.00,0.20,0.01
finance,SVD_NRS,1.64,0.00,0.26,0.00,0.41,0.00,0.23,0.01
