method,count,upset_naive_mean,upset_naive_std,upset_simple_mean,upset_simple_std,upset_ratio_mean,upset_ratio_std,time_mean,time_std
OURS_MFAS,1,0.090000,0.000000,0.380000,0.000000,0.400000,0.000000,0.020000,0.000000
OURS_MFAS_INS1,1,0.090000,0.000000,0.380000,0.000000,0.400000,0.000000,0.020000,0.000000
OURS_MFAS_INS2,1,0.090000,0.000000,0.380000,0.000000,0.400000,0.000000,0.020000,0.000000
OURS_MFAS_INS3,1,0.090000,0.000000,0.380000,0.000000,0.400000,0.000000,0.020000,0.000000
PageRank,2,0.480000,0.010000,1.920000,0.040000,0.965000,0.375000,0.200000,0.200000
SVD_NRS,2,0.250000,0.160000,1.010000,0.630000,0.330000,0.070000,0.125000,0.105000
SVD_RS,2,0.270000,0.140000,1.085000,0.555000,0.340000,0.080000,0.115000,0.115000
SpringRank,2,0.395000,0.015000,1.575000,0.055000,0.535000,0.275000,0.375000,0.355000
btl,2,0.245000,0.165000,0.980000,0.650000,0.525000,0.115000,0.105000,0.105000
davidScore,2,0.290000,0.150000,1.145000,0.595000,0.405000,0.135000,0.035000,0.035000
eigenvectorCentrality,2,0.300000,0.140000,1.200000,0.550000,0.350000,0.090000,0.005000,0.005000
rankCentrality,2,0.335000,0.075000,1.335000,0.305000,0.440000,0.180000,0.105000,0.095000
serialRank,2,0.280000,0.170000,1.115000,0.665000,0.250000,0.030000,0.580000,0.330000
syncRank,2,0.480000,0.080000,1.835000,0.225000,0.575000,0.305000,1.875000,1.875000
