dataset,kind,OURS_upset_simple,best_gnn_upset_simple,OURS_runtime_sec,best_gnn_runtime_sec,upset_diff,runtime_ratio
Basketball_temporal/1985,basketball_temporal,0.620000,0.716240,0.680000,15.553035,-0.096240,0.043721
Basketball_temporal/1986,basketball_temporal,0.620000,0.752413,0.710000,15.611209,-0.132413,0.045480
Basketball_temporal/1987,basketball_temporal,0.660000,0.803973,0.740000,15.926481,-0.143973,0.046463
Basketball_temporal/1988,basketball_temporal,0.630000,0.720314,0.750000,15.788930,-0.090314,0.047502
Basketball_temporal/1989,basketball_temporal,0.630000,0.748201,0.810000,6.892814,-0.118201,0.117514
Basketball_temporal/1990,basketball_temporal,0.600000,0.727561,0.800000,15.996162,-0.127561,0.050012
Basketball_temporal/1991,basketball_temporal,0.640000,0.767138,0.870000,16.145581,-0.127138,0.053885
Basketball_temporal/1992,basketball_temporal,0.630000,0.724324,0.860000,16.096770,-0.094324,0.053427
Basketball_temporal/1993,basketball_temporal,0.620000,0.731872,0.760000,16.178821,-0.111872,0.046975
Basketball_temporal/1994,basketball_temporal,0.610000,0.735281,0.800000,16.255655,-0.125281,0.049214
Basketball_temporal/1995,basketball_temporal,0.640000,0.757823,0.830000,16.245889,-0.117823,0.051090
Basketball_temporal/1996,basketball_temporal,0.690000,0.805725,0.910000,16.353229,-0.115725,0.055647
Basketball_temporal/1997,basketball_temporal,0.670000,0.792714,0.950000,16.336157,-0.122714,0.058153
Basketball_temporal/1998,basketball_temporal,0.640000,0.772663,0.870000,16.409050,-0.132663,0.053020
Basketball_temporal/1999,basketball_temporal,0.700000,0.810717,0.900000,16.474665,-0.110717,0.054629
Basketball_temporal/2000,basketball_temporal,0.660000,0.802502,0.940000,16.635638,-0.142502,0.056505
Basketball_temporal/2001,basketball_temporal,0.620000,0.749267,0.890000,16.703493,-0.129267,0.053282
Basketball_temporal/2002,basketball_temporal,0.670000,0.779733,0.950000,16.822150,-0.109733,0.056473
Basketball_temporal/2003,basketball_temporal,0.690000,0.804827,0.960000,16.978374,-0.114827,0.056543
Basketball_temporal/2004,basketball_temporal,0.610000,0.722296,0.930000,16.927690,-0.112296,0.054940
Basketball_temporal/2005,basketball_temporal,0.660000,0.778309,1.020000,8.443991,-0.118309,0.120796
Basketball_temporal/2006,basketball_temporal,0.680000,0.788799,1.030000,17.275488,-0.108799,0.059622
Basketball_temporal/2007,basketball_temporal,0.670000,0.789139,1.140000,8.123276,-0.119139,0.140337
Basketball_temporal/2008,basketball_temporal,0.690000,0.809229,1.160000,17.589755,-0.119229,0.065947
Basketball_temporal/2009,basketball_temporal,0.650000,0.757725,1.250000,17.233449,-0.107725,0.072533
Basketball_temporal/2010,basketball_temporal,0.650000,0.772610,1.160000,17.933465,-0.122610,0.064684
Basketball_temporal/2011,basketball_temporal,0.680000,0.778801,1.150000,18.017490,-0.098801,0.063827
Basketball_temporal/2012,basketball_temporal,0.630000,0.734049,1.140000,17.744470,-0.104049,0.064245
Basketball_temporal/2013,basketball_temporal,0.660000,0.778550,1.180000,17.900455,-0.118550,0.065920
Basketball_temporal/2014,basketball_temporal,0.680000,0.788354,1.230000,18.082948,-0.108354,0.068020
Basketball_temporal/finer1985,basketball_temporal,1.250000,0.756059,2.800000,27.948553,0.493941,0.100184
Basketball_temporal/finer1986,basketball_temporal,1.090000,0.770703,2.860000,78.741394,0.319297,0.036321
Basketball_temporal/finer1987,basketball_temporal,1.210000,0.818564,3.130000,17.353725,0.391436,0.180365
Basketball_temporal/finer1988,basketball_temporal,1.170000,0.775254,3.200000,82.659088,0.394746,0.038713
Basketball_temporal/finer1989,basketball_temporal,1.160000,0.767020,3.380000,91.245034,0.392980,0.037043
Basketball_temporal/finer1990,basketball_temporal,1.160000,0.788222,3.410000,34.418943,0.371778,0.099073
Basketball_temporal/finer1991,basketball_temporal,1.140000,0.810409,3.490000,17.871980,0.329591,0.195278
