dataset,best_ours_method,best_ours_upset_simple,best_classical_method,best_classical_upset_simple,best_gnn_method,best_gnn_upset_simple
Basketball_temporal/1985,OURS_MFAS,0.6227444410324097,davidScore,0.7519932985305786,DIGRAC,1.0383550083637239
Basketball_temporal/1986,OURS_MFAS,0.6156405806541443,SpringRank,0.7770382761955261,DIGRAC,0.9359151315689087
Basketball_temporal/1987,OURS_MFAS,0.657926082611084,SpringRank,0.8216130137443542,DIGRAC,1.0242987728118897
Basketball_temporal/1988,OURS_MFAS,0.6258823275566101,SpringRank,0.7435294389724731,DIGRAC,0.9275058817863464
Basketball_temporal/1989,OURS_MFAS,0.6300643682479858,SpringRank,0.7482014298439026,DIGRAC,0.9454600536823272
Basketball_temporal/1990,OURS_MFAS,0.6003780961036682,SpringRank,0.7500945329666138,DIGRAC,0.863395084142685
Basketball_temporal/1991,OURS_MFAS,0.63791823387146,davidScore,0.7657992839813232,DIGRAC,0.9129219388961792
Basketball_temporal/1992,OURS_MFAS,0.6264346241950989,davidScore,0.7197334170341492,DIGRAC,0.8977415788173676
Basketball_temporal/1993,OURS_MFAS,0.6202036142349243,davidScore,0.7423649430274963,DIGRAC,0.9493500447273254
Basketball_temporal/1994,OURS_MFAS,0.6102997660636902,davidScore,0.7378939390182495,DIGRAC,0.8861644876003265
Basketball_temporal/1995,OURS_MFAS,0.6439909338951111,SpringRank,0.7694633603096008,DIGRAC,0.8902796685695649
Basketball_temporal/1996,OURS_MFAS,0.692844033241272,davidScore,0.8102752566337585,DIGRAC,1.0220403671264648
Basketball_temporal/1997,OURS_MFAS,0.6657142639160156,SpringRank,0.8142856955528259,DIGRAC,0.9816000056266785
Basketball_temporal/1998,OURS_MFAS,0.6359773278236389,SpringRank,0.7733711004257202,DIGRAC,0.9292068004608154
Basketball_temporal/1999,OURS_MFAS,0.7000696063041687,davidScore,0.8072373270988464,DIGRAC,0.9191370952129364
Basketball_temporal/2000,OURS_MFAS,0.6638129949569702,SpringRank,0.844254195690155,DIGRAC,1.0005136692523957
Basketball_temporal/2001,OURS_MFAS,0.6191612482070923,SpringRank,0.7541766166687012,DIGRAC,0.9461984312534333
Basketball_temporal/2002,OURS_MFAS,0.6706666946411133,SpringRank,0.7960000038146973,DIGRAC,0.9427266633510589
Basketball_temporal/2003,OURS_MFAS,0.6901500225067139,davidScore,0.8049576282501221,DIGRAC,1.0165949153900147
Basketball_temporal/2004,OURS_MFAS,0.6094986796379089,davidScore,0.7453826069831848,DIGRAC,0.898212399482727
Basketball_temporal/2005,OURS_MFAS,0.659649133682251,SpringRank,0.7783094048500061,DIGRAC,0.9254481709003448
Basketball_temporal/2006,OURS_MFAS,0.6757934093475342,davidScore,0.7741132378578186,DIGRAC,0.9856689548492432
Basketball_temporal/2007,OURS_MFAS,0.6655112504959106,SpringRank,0.7891392111778259,DIGRAC,1.0002830743789672
Basketball_temporal/2008,OURS_MFAS,0.6888013482093811,davidScore,0.8002250790596008,DIGRAC,1.0506471621990203
Basketball_temporal/2009,OURS_MFAS,0.6457697749137878,davidScore,0.7633841633796692,DIGRAC,0.8331983304023742
Basketball_temporal/2010,OURS_MFAS,0.6507806181907654,davidScore,0.7745823264122009,DIGRAC,0.9738263487815857
Basketball_temporal/2011,OURS_MFAS,0.6759156584739685,davidScore,0.7857935428619385,DIGRAC,0.8848168730735779
Basketball_temporal/2012,OURS_MFAS,0.6275805234909058,SpringRank,0.7563996911048889,DIGRAC,0.9642719483375549
Basketball_temporal/2013,OURS_MFAS,0.658823549747467,davidScore,0.7978112101554871,ib,1.0925362491607666
Basketball_temporal/2014,OURS_MFAS,0.6780952215194702,davidScore,0.7945578098297119,DIGRAC,0.9488544201850891
Basketball_temporal/finer1985,OURS_MFAS,1.254507303237915,SpringRank,0.7563941478729248,DIGRAC,0.9418616330623627
Basketball_temporal/finer1986,OURS_MFAS,1.0919684171676636,SpringRank,0.7707033157348633,DIGRAC,1.0555472350120545
Basketball_temporal/finer1987,OURS_MFAS,1.2074573040008545,SpringRank,0.8187227249145508,DIGRAC,1.0000872588157654
Basketball_temporal/finer1988,OURS_MFAS,1.1746280193328857,SpringRank,0.775254487991333,DIGRAC,0.9509475302696228
Basketball_temporal/finer1989,OURS_MFAS,1.1558245420455933,SpringRank,0.7670196890830994,DIGRAC,1.0209984862804413
Basketball_temporal/finer1990,OURS_MFAS,1.156662940979004,SpringRank,0.7882219552993774,DIGRAC,0.9855417215824127
Basketball_temporal/finer1991,OURS_MFAS,1.1434943675994873,SpringRank,0.8104089498519897,DIGRAC,0.999018589258194
Basketball_temporal/finer1992,OURS_MFAS,1.1098779439926147,SpringRank,0.7266000509262085,DIGRAC,0.975538296699524
Basketball_temporal/finer1993,OURS_MFAS,1.1540266275405884,SpringRank,0.753713846206665,DIGRAC,0.9762939727306366
Basketball_temporal/finer1994,OURS_MFAS,1.1509796380996704,SpringRank,0.7376104593276978,DIGRAC,0.9612908232212066
Basketball_temporal/finer1995,OURS_MFAS,1.1868629455566406,SpringRank,0.7867119908332825,DIGRAC,0.9919214832782746
Basketball_temporal/finer1996,OURS_MFAS,1.211277961730957,SpringRank,0.8055657148361206,DIGRAC,1.0872574198246001
Basketball_temporal/finer1997,OURS_MFAS,1.2219842672348022,SpringRank,0.8251249194145203,DIGRAC,1.049279090166092
Basketball_temporal/finer1998,OURS_MFAS,1.1994342803955078,SpringRank,0.7835926413536072,DIGRAC,1.0372277295589447
Basketball_temporal/finer1999,OURS_MFAS,1.1959763765335083,SpringRank,0.8102670907974243,DIGRAC,1.0729101610183716
Basketball_temporal/finer2000,OURS_MFAS,1.1812940835952759,SpringRank,0.8443305492401123,DIGRAC,1.0692120373249054
Basketball_temporal/finer2001,OURS_MFAS,1.1980230808258057,SpringRank,0.8052718043327332,DIGRAC,1.0508072459697724
Basketball_temporal/finer2002,OURS_MFAS,1.1793036460876465,SpringRank,0.8682069778442383,DIGRAC,1.0452326714992524
Basketball_temporal/finer2003,OURS_MFAS,1.2177214622497559,SpringRank,0.8658227920532227,DIGRAC,1.0513291192054748
Basketball_temporal/finer2004,OURS_MFAS,1.2068965435028076,SpringRank,0.7726691961288452,DIGRAC,1.0248084223270417
Basketball_temporal/finer2005,OURS_MFAS,1.233540415763855,SpringRank,0.8422360420227051,DIGRAC,1.0149565303325654
Basketball_temporal/finer2006,OURS_MFAS,1.2224231958389282,davidScore,0.8511151075363159,DIGRAC,1.071440625190735
Basketball_temporal/finer2007,OURS_MFAS,1.2300785779953003,SpringRank,0.8563411831855774,DIGRAC,1.04197531580925
Basketball_temporal/finer2008,OURS_MFAS,1.182608723640442,SpringRank,0.8467391133308411,DIGRAC,1.0418260848522187
Basketball_temporal/finer2009,OURS_MFAS,1.2247099876403809,SpringRank,0.8362557291984558,DIGRAC,1.0463015854358673
Basketball_temporal/finer2010,OURS_MFAS,1.1958322525024414,SpringRank,0.8153887391090393,DIGRAC,1.0384183764457702
Basketball_temporal/finer2011,OURS_MFAS,1.248863935470581,SpringRank,0.8532478213310242,DIGRAC,1.0176369976997375
Basketball_temporal/finer2012,OURS_MFAS,1.1928893327713013,SpringRank,0.804457426071167,DIGRAC,1.0086070609092712
Basketball_temporal/finer2013,OURS_MFAS,1.2068692445755005,SpringRank,0.8295904994010925,DIGRAC,0.995593124628067
Basketball_temporal/finer2014,OURS_MFAS,1.2120893001556396,SpringRank,0.8409987092018127,DIGRAC,1.0480998682975768
Dryad_animal_society,OURS_MFAS,0.37735849618911743,davidScore,0.3270440399646759,DIGRAC,0.37735849618911743
ERO/p5K5N350eta10styleuniform,,,,,,
FacultyHiringNetworks/Business/Business_FM_Full_,OURS_MFAS,0.3559037446975708,SpringRank,0.40514829754829407,DIGRAC,0.6379854500293731
FacultyHiringNetworks/ComputerScience/ComputerScience_FM_Full_,OURS_MFAS,0.23880596458911896,SpringRank,0.33262258768081665,DIGRAC,0.5201563614606858
FacultyHiringNetworks/History/History_FM_Full_,OURS_MFAS,0.22923588752746582,btl,0.30033223032951356,DIGRAC,0.41162790775299074
Football_data_England_Premier_League/England_2009_2010,OURS_MFAS,0.6341463327407837,SpringRank,0.6097561120986938,ib,0.8251219522953034
Football_data_England_Premier_League/England_2010_2011,OURS_MFAS,0.9937888383865356,SVD_NRS,1.1677018404006958,ib,1.1962732946872712
Football_data_England_Premier_League/England_2011_2012,OURS_MFAS,0.8484848737716675,SpringRank,0.800000011920929,ib,1.0196363639831543
Football_data_England_Premier_League/England_2012_2013,OURS_MFAS,0.8888888955116272,SVD_NRS,0.8627451062202454,ib,1.071111124753952
Football_data_England_Premier_League/England_2013_2014,OURS_MFAS,0.6545454263687134,davidScore,0.678787887096405,ib,0.8061818194389343
Football_data_England_Premier_League/England_2014_2015,OURS_MFAS,0.9345794320106506,SVD_NRS,1.0841121673583984,ib,1.2811214995384217
