method,config,method_family,median_upset_simple,mean_upset_simple,median_upset_ratio,mean_upset_ratio,median_upset_naive,mean_upset_naive,coverage
DIGRAC,K12dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.41162790775299074,0.41162790775299074,0.7790804851055145,0.7790804851055145,0.10290697693824769,0.10290697693824769,1 / 81
DIGRAC,K3dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.4296855342388153,0.4296855342388153,0.6488101997971535,0.6488101997971535,0.10742138355970382,0.10742138355970382,1 / 81
DIGRAC,K12dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.5970764082670211,0.5970764082670211,0.7517962121963501,0.7517962121963501,0.14926910206675528,0.14926910206675528,1 / 81
DIGRAC,K3dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.6083018982410431,0.6083018982410431,0.6529783701896668,0.6529783701896668,0.15207547456026077,0.15207547456026077,1 / 81
OURS_MFAS_INS2,trials1train_r100test_r100AllTrue,OURS,0.6093159914016724,0.9945017695426941,0.49880850315093994,0.4847370684146881,0.1523289978504181,0.24862544238567352,3 / 81
OURS_MFAS_INS3,trials1train_r100test_r100AllTrue,OURS,0.6093159914016724,0.9945017695426941,0.49880850315093994,0.4847370684146881,0.1523289978504181,0.24862544238567352,3 / 81
OURS_MFAS_INS1,trials1train_r100test_r100AllTrue,OURS,0.6109945178031921,0.9950612783432007,0.49880850315093994,0.4847528835137685,0.15274862945079803,0.24876531958580017,3 / 81
DIGRAC,K5dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.6379854500293731,0.6379854500293731,0.7744350272417069,0.7744350272417069,0.15949636250734328,0.15949636250734328,1 / 81
DIGRAC,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.6481029611825943,0.6481029611825943,0.8090020340681076,0.8090020340681076,0.16202574029564856,0.16202574029564856,1 / 81
davidScore,trials1train_r100test_r100AllTrue,classical,0.7519932985305786,0.9028123319149017,0.6247237920761108,0.5567426184813181,0.18799832463264465,0.22570308297872543,3 / 81
SpringRank,trials1train_r100test_r100AllTrue,classical,0.7620646357536316,0.9660826921463013,0.416645348072052,0.44768112897872925,0.1905161589384079,0.24152067303657532,3 / 81
SpringRank,trials10train_r100test_r100AllTrue,classical,0.8027240633964539,0.8117569998288766,0.5698624551296234,0.3852070743421045,0.20068101584911346,0.20293924995721915,78 / 81
davidScore,trials10train_r100test_r100AllTrue,classical,0.8241382241249084,0.8353933084469575,0.5532494187355042,0.575075510984812,0.2060345560312271,0.20898119799601725,78 / 81
SVD_NRS,trials1train_r100test_r100AllTrue,classical,0.8644565939903259,1.0102349519729614,0.41639307141304016,0.4344397981961568,0.21611414849758148,0.25255873799324036,3 / 81
OURS_MFAS,trials10train_r100test_r100AllTrue,OURS,0.8780487775802612,0.8878800739328583,0.5057481527328491,0.3818907469704554,0.2195121943950653,0.22197001848321457,77 / 81
