baseline,dropped_family,n_families,equal_family_mean_delta_upset_simple,equal_family_median_delta_upset_simple,n_family_points_ours_better,n_family_points_baseline_better,n_family_points_tie
SpringRank,Animal,6,0.003303085764249152,-0.08703963458538057,4,2,0
SpringRank,Basketball_coarse,6,0.004351134101549761,-0.08703963458538057,4,2,0
SpringRank,Basketball_finer,6,-0.0824017922083537,-0.10538873076438907,5,1,0
SpringRank,Faculty,6,-0.003264824549357124,-0.10538873076438907,4,2,0
SpringRank,Football_coarse,6,-0.0030445208152135353,-0.1047278195619583,4,2,0
SpringRank,Football_finer,6,-0.027762293815612807,-0.10538873076438907,5,1,0
SpringRank,Halo,6,0.0028515408436457085,-0.08703963458538057,4,2,0
SpringRank,NONE,7,-0.015138238668441792,-0.08770054578781133,5,2,0
davidScore,Animal,6,-0.06701302031675974,-0.11135020852088928,4,2,0
davidScore,Basketball_coarse,6,-0.03677062193552653,-0.020623013377189664,3,3,0
davidScore,Basketball_finer,6,-0.11455594003200531,-0.11135020852088928,4,2,0
davidScore,Faculty,6,-0.00117988387743632,-0.020623013377189664,3,3,0
davidScore,Football_coarse,6,-0.043367197116216026,-0.040412738919258145,3,3,0
davidScore,Football_finer,6,-0.07689532637596132,-0.11135020852088928,4,2,0
davidScore,Halo,6,-0.01198167602221171,-0.020623013377189664,3,3,0
davidScore,NONE,7,-0.05025195223944528,-0.0915604829788208,4,3,0
SVD_NRS,Animal,6,-0.0952565958102544,-0.10675196349620818,4,2,0
SVD_NRS,Basketball_coarse,6,-0.07993371188640595,-0.10581170022487643,4,2,0
SVD_NRS,Basketball_finer,6,-0.16900560657183328,-0.15188366174697876,5,1,0
SVD_NRS,Faculty,6,-0.0949431747198105,-0.10581170022487643,4,2,0
SVD_NRS,Football_coarse,6,-0.11030049522717793,-0.15188366174697876,4,2,0
SVD_NRS,Football_finer,6,-0.14465625484784442,-0.15188366174697876,5,1,0
SVD_NRS,Halo,6,-0.028387134273846953,-0.10581170022487643,4,2,0
SVD_NRS,NONE,7,-0.10321185333388191,-0.15094339847564703,5,2,0
btl,Animal,6,-0.14163819551467896,-0.15651360005140308,5,1,0
btl,Basketball_coarse,6,-0.10763815095027292,-0.09357661753892901,5,1,0
btl,Basketball_finer,6,-0.12065920134385429,-0.09357661753892901,5,1,0
btl,Faculty,6,-0.14236742158730828,-0.15651360005140308,5,1,0
btl,Football_coarse,6,-0.1356032227476438,-0.1384086817502976,5,1,0
btl,Football_finer,6,-0.1637117644151052,-0.15651360005140308,6,0,0
btl,Halo,6,-0.11368291576703389,-0.09357661753892901,5,1,0
btl,NONE,7,-0.13218583890369962,-0.11168153584003448,6,1,0
PageRank,Animal,6,-0.1968046873807907,-0.1930930763483048,5,1,0
PageRank,Basketball_coarse,6,-0.20516439278920492,-0.1997734159231186,5,1,0
PageRank,Basketball_finer,6,-0.2528991649548213,-0.23325169086456293,6,0,0
PageRank,Faculty,6,-0.2212885320186615,-0.23325169086456293,5,1,0
PageRank,Football_coarse,6,-0.20293761293093363,-0.1930930763483048,5,1,0
PageRank,Football_finer,6,-0.21632381776968637,-0.23325169086456293,5,1,0
PageRank,Halo,6,-0.1621395001808802,-0.1930930763483048,5,1,0
PageRank,NONE,7,-0.2082225297178541,-0.22657135128974915,6,1,0
syncRank,Animal,6,-0.7693346709012984,-0.7274861276149749,6,0,0
syncRank,Basketball_coarse,6,-0.7783059348662693,-0.7274861276149749,6,0,0
syncRank,Basketball_finer,6,-0.8708585669596989,-0.9347360640764235,6,0,0
syncRank,Faculty,6,-0.8786151826381682,-0.9347360640764235,6,0,0
syncRank,Football_coarse,6,-0.824496740102768,-0.8535719782114028,6,0,0
syncRank,Football_finer,6,-0.8515514353911081,-0.9347360640764235,6,0,0
syncRank,Halo,6,-0.782468123237292,-0.7274861276149749,6,0,0
syncRank,NONE,7,-0.8222329505852289,-0.8086502134799955,7,0,0
rankCentrality,Animal,6,-1.108877347409725,-0.9948823153972627,6,0,0
rankCentrality,Basketball_coarse,6,-1.1572011028726894,-0.9948823153972627,6,0,0
rankCentrality,Basketball_finer,6,-1.2448510254422824,-1.208155980706215,6,0,0
rankCentrality,Faculty,6,-1.0808226555585863,-0.9948823153972627,6,0,0
rankCentrality,Football_coarse,6,-1.2282923246423403,-1.208155980706215,6,0,0
rankCentrality,Football_finer,6,-1.2319884861509005,-1.208155980706215,6,0,0
rankCentrality,Halo,6,-1.18613682637612,-1.0816894859075545,6,0,0
rankCentrality,NONE,7,-1.1768813954932347,-1.121348810195923,7,0,0
serialRank,Animal,6,-0.8686119665702184,-0.9081949770450595,6,0,0
serialRank,Basketball_coarse,6,-0.9268127888441087,-0.9081949770450595,6,0,0
serialRank,Basketball_finer,6,-1.0200824350118638,-1.1880039155483249,6,0,0
serialRank,Faculty,6,-0.8841786950826646,-0.9081949770450595,6,0,0
serialRank,Football_coarse,6,-1.080418120821317,-1.1880039155483249,6,0,0
serialRank,Football_finer,6,-1.1362355013688406,-1.1880039155483249,6,0,0
serialRank,Halo,6,-0.9739486128091812,-1.049602448940277,6,0,0
serialRank,NONE,7,-0.9843268743583135,-1.046596443653107,7,0,0
DIGRAC,Animal,6,-0.34694221456845603,-0.3572234499454498,5,1,0
DIGRAC,Basketball_coarse,6,-0.29201004763444266,-0.3069386285543442,5,1,0
DIGRAC,Basketball_finer,6,-0.3837895177801451,-0.3572234499454498,6,0,0
DIGRAC,Faculty,6,-0.30877165476481117,-0.3572234499454498,5,1,0
DIGRAC,Football_coarse,6,-0.25863431880871457,-0.3069386285543442,5,1,0
DIGRAC,Football_finer,6,-0.3002422442038854,-0.3316352182626725,5,1,0
DIGRAC,Halo,6,-0.24359032769997913,-0.3069386285543442,5,1,0
DIGRAC,NONE,7,-0.3048543322086334,-0.3325268602371215,6,1,0
ib,Animal,6,-0.34140851159890495,-0.26670441955327984,6,0,0
ib,Basketball_coarse,6,-0.3476389060417812,-0.26670441955327984,6,0,0
ib,Basketball_finer,6,-0.428027524749438,-0.4525149798393249,6,0,0
ib,Faculty,6,-0.32836049675941476,-0.26670441955327984,6,0,0
ib,Football_coarse,6,-0.40957575947046293,-0.4525149798393249,6,0,0
ib,Football_finer,6,-0.4105256518721581,-0.4525149798393249,6,0,0
ib,Halo,6,-0.3850525762637457,-0.3789454302191735,6,0,0
ib,NONE,7,-0.37865563239370076,-0.34027396917343133,7,0,0
