baseline,metric,n_points,points,mean_of_point_medians,median_of_point_medians,wins_ours,ties,losses_ours
SpringRank,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.04424939552942914,-0.08703963458538057,4,0,2
SpringRank,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.011062348882357298,-0.021759908646345152,4,0,2
SpringRank,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.045464512581626586,-0.05846890807151797,5,0,1
davidScore,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.07938942313194275,-0.020623013377189664,3,0,3
davidScore,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.02040575941403708,-0.005896579474210732,3,0,3
davidScore,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.11266964053114255,-0.10558438301086426,5,0,1
SVD_NRS,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.1251214832067489,-0.10581170022487643,4,0,2
SVD_NRS,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.03128037080168725,-0.02645292505621913,4,0,2
SVD_NRS,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.10090061128139494,-0.08500277996063232,6,0,0
btl,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.1114732936024666,-0.09357661753892901,5,0,1
btl,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.027868323400616648,-0.023394154384732253,5,0,1
btl,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,0.11042913394824912,0.07897947349119933,0,0,6
PageRank,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.2430842071771622,-0.20380681753158564,6,0,0
PageRank,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.06077105179429054,-0.05095170438289644,6,0,0
PageRank,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,0.004897585759560272,-0.031110309064388275,4,0,2
syncRank,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.8215654412905374,-0.7993432521820067,6,0,0
syncRank,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.2057058244943619,-0.19983581304550171,6,0,0
syncRank,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.24102291140394907,-0.2137100666761399,6,0,0
rankCentrality,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-1.203629565735658,-1.084491601586342,6,0,0
rankCentrality,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.3058177400380373,-0.2713669903576374,6,0,0
rankCentrality,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.6359910833338897,-0.5869315065443514,6,0,0
serialRank,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.9748574703931809,-1.0523290216922763,6,0,0
serialRank,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.27576435133814814,-0.29204695522785185,6,0,0
serialRank,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.2519039329218989,-0.20979934036731726,6,0,0
DIGRAC,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.3327201256155968,-0.3069386285543442,6,0,0
DIGRAC,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.08318813088039559,-0.07673998758196829,6,0,0
DIGRAC,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.1548323517378109,-0.16985250219702716,6,0,0
ib,upset_simple,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.40185140579938894,-0.3739866229891777,6,0,0
ib,upset_naive,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.36210082722206915,-0.40011974886059765,6,0,0
ib,upset_ratio,6,family:Animal|family:Faculty|family:Football_coarse|family:Football_finer|family:Halo|meta:Basketball_all,-0.24390520647633826,-0.22758048981428144,6,0,0
