baseline,metric,n_families,mean_of_family_medians,median_of_family_medians,family_points_favor_ours,family_points_tie,family_points_favor_baseline,ci_lo,ci_hi,ci_excludes_zero,families
SpringRank,upset_simple,7,-0.015138238668441792,-0.08770054578781133,5,0,2,-0.11573831949915205,0.1277401114148748,False,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
SpringRank,upset_naive,7,-0.003784559667110455,-0.021925136446952806,5,0,2,-0.02893457987478803,0.03193502785371868,False,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
SpringRank,upset_ratio,7,-0.04360682700228479,-0.09938815236091614,6,0,1,-0.09395124656813485,0.023716871486976692,False,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
davidScore,upset_simple,7,-0.05025195223944528,-0.0915604829788208,4,0,3,-0.20774608850479126,0.11290413960814426,False,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
davidScore,upset_naive,7,-0.01304161974361966,-0.02437177300453186,4,0,3,-0.05300283325569972,0.027750131886984476,False,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
davidScore,upset_ratio,7,-0.12697718079601017,-0.08031541109085083,6,0,1,-0.22863161444131824,-0.03701248722417019,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
SVD_NRS,upset_simple,7,-0.10321185333388191,-0.15094339847564703,5,0,2,-0.2926505020686558,0.08080035022326877,False,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
SVD_NRS,upset_naive,7,-0.02580296333347048,-0.0377358496189118,5,0,2,-0.07316262551716395,0.02020008755581721,False,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
SVD_NRS,upset_ratio,7,-0.11450108545167104,-0.07019200921058655,7,0,0,-0.20642157707895548,-0.03796097721372329,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
btl,upset_simple,7,-0.13218583890369962,-0.11168153584003448,6,0,1,-0.21081553861498836,-0.0518966206163168,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
btl,upset_naive,7,-0.03304645972592491,-0.027920383960008607,6,0,1,-0.05270388465374709,-0.012974155154079193,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
btl,upset_ratio,7,0.1024451238236257,0.04410074353218074,0,0,7,0.042797017214553694,0.17405085455094063,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
PageRank,upset_simple,7,-0.2082225297178541,-0.22657135128974915,6,0,1,-0.3193749635347299,-0.09474609653864598,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
PageRank,upset_naive,7,-0.05205563242946353,-0.05664283782243734,6,0,1,-0.07984374088368246,-0.0236865241346615,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
PageRank,upset_ratio,7,0.015314396903184908,-0.021933332085609436,4,0,3,-0.0451911347252982,0.08575100637556586,False,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
syncRank,upset_simple,7,-0.8222329505852289,-0.8086502134799955,7,0,0,-1.01129584846752,-0.6326333418062757,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
syncRank,upset_naive,7,-0.20582777836493085,-0.20216255336999894,7,0,0,-0.25336304355412725,-0.15816507396953447,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
syncRank,upset_ratio,7,-0.219579538051039,-0.22020834088325503,6,0,1,-0.35360435152925296,-0.07163172871140501,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
rankCentrality,upset_simple,7,-1.1768813954932347,-1.121348810195923,7,0,0,-1.4470715433465582,-0.9296596439182763,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
