baseline,metric,n_families,mean_of_family_medians,median_of_family_medians,family_points_favor_ours,family_points_tie,family_points_favor_baseline,ci_lo,ci_hi,ci_excludes_zero,families
rankCentrality,upset_naive,7,-0.2992677178766046,-0.2803372025489807,7,0,0,-0.36327395366238696,-0.24036520471796394,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
rankCentrality,upset_ratio,7,-0.6360304870775767,-0.6139125645160673,7,0,0,-0.7745278513857298,-0.5083187324660166,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
serialRank,upset_simple,7,-0.9843268743583135,-1.046596443653107,7,0,0,-1.3810863104888371,-0.5584041213350642,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
serialRank,upset_naive,7,-0.27355313322373803,-0.3195785105228424,7,0,0,-0.3921562122447151,-0.14918684698109122,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
serialRank,upset_ratio,7,-0.2280453814459699,-0.2106857717037201,6,0,1,-0.3774832047947816,-0.07758298474763126,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
DIGRAC,upset_simple,7,-0.3048543322086334,-0.3325268602371215,6,0,1,-0.4992453063385828,-0.10304081172389655,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
DIGRAC,upset_naive,7,-0.07622241697141104,-0.08313171505928038,6,0,1,-0.1248306308260986,-0.025768838068736467,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
DIGRAC,upset_ratio,7,-0.13768233701387156,-0.19106831163167953,6,0,1,-0.22179352364369806,-0.03218923811654441,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
ib,upset_simple,7,-0.37865563239370076,-0.34027396917343133,7,0,0,-0.5345117893389293,-0.21828961673804703,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
ib,upset_naive,7,-0.36799864505018504,-0.3534591153264046,7,0,0,-0.4988876808115414,-0.22154335039587966,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
ib,upset_ratio,7,-0.22915888042721363,-0.23980916142463682,6,0,1,-0.33887994076524464,-0.10586042287892529,True,Animal|Basketball_coarse|Basketball_finer|Faculty|Football_coarse|Football_finer|Halo
