dataset,family,baseline,delta_upset_simple,ours_upset_simple,base_upset_simple,delta_upset_naive,ours_upset_naive,base_upset_naive,delta_upset_ratio,ours_upset_ratio,base_upset_ratio,delta_runtime_sec,ours_runtime_sec,base_runtime_sec,ours_config,base_config
Basketball_temporal/1985,Basketball_coarse,SpringRank,-0.13932019472122192,0.6227444410324097,0.7620646357536316,-0.03483004868030551,0.1556861102581024,0.1905161589384079,-0.11030060052871704,0.5563536882400513,0.6666542887687683,0.6123381137847901,0.6767847776412964,0.0644466638565063,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,davidScore,-0.12924885749816895,0.6227444410324097,0.7519932985305786,-0.03231221437454221,0.1556861102581024,0.1879983246326446,-0.06837010383605957,0.5563536882400513,0.6247237920761108,0.6742244720458985,0.6767847776412964,0.0025603055953979,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,SVD_NRS,-0.24171215295791626,0.6227444410324097,0.8644565939903259,-0.06042803823947901,0.1556861102581024,0.2161141484975814,-0.07154083251953125,0.5563536882400513,0.6278945207595825,0.6713666677474976,0.6767847776412964,0.0054181098937988,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,btl,-0.3113722145557404,0.6227444410324097,0.93411665558815,-0.07784305363893512,0.1556861102581024,0.2335291638970375,0.01807052791118624,0.5563536882400513,0.538283160328865,0.04333682060241706,0.6767847776412964,0.6334479570388794,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,PageRank,-0.2870331406593324,0.6227444410324097,0.909777581691742,-0.07175828516483301,0.1556861102581024,0.2274443954229354,0.002371370792388916,0.5563536882400513,0.5539823174476624,0.6745950937271119,0.6767847776412964,0.0021896839141845,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,syncRank,-0.9937053918838501,0.6227444410324097,1.6164498329162598,-0.2484263479709625,0.1556861102581024,0.4041124582290649,-0.2987654209136963,0.5563536882400513,0.8551191091537476,0.3602184534072877,0.6767847776412964,0.3165663242340087,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,rankCentrality,-1.2941670417785642,0.6227444410324097,1.916911482810974,-0.3235417604446411,0.1556861102581024,0.4792278707027435,-0.7602179050445557,0.5563536882400513,1.316571593284607,0.663340187072754,0.6767847776412964,0.0134445905685424,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,serialRank,-1.4855223894119263,0.6227444410324097,2.108266830444336,-0.37138059735298157,0.1556861102581024,0.527066707611084,-0.3049483001232147,0.5563536882400513,0.861301988363266,0.6692294597625733,0.6767847776412964,0.0075553178787231,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,DIGRAC,-0.4289718818664552,0.6227444410324097,1.0517163228988649,-0.10724297046661382,0.1556861102581024,0.2629290807247162,-0.20536797225475312,0.5563536882400513,0.7617216604948044,-14.876249861717223,0.6767847776412964,15.55303463935852,trials10train_r100test_r100AllTrue,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue
Basketball_temporal/1985,Basketball_coarse,ib,-0.6056987082958218,0.6227444410324097,1.2284431493282315,-0.49425933837890623,0.1556861102581024,0.6499454486370086,-0.34951321840286254,0.5563536882400513,0.9058669066429138,-5.770759797096252,0.6767847776412964,6.447544574737549,trials10train_r100test_r100AllTrue,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue
Basketball_temporal/1986,Basketball_coarse,SpringRank,-0.16139769554138184,0.6156405806541443,0.7770382761955261,-0.040349423885345514,0.153910145163536,0.1942595690488815,-0.13017791509628296,0.5580135583877563,0.6881914734840393,0.6544523000717164,0.711310863494873,0.0568585634231567,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1986,Basketball_coarse,davidScore,-0.16306155920028687,0.6156405806541443,0.7787021398544312,-0.0407653898000718,0.153910145163536,0.1946755349636078,-0.05432635545730591,0.5580135583877563,0.6123399138450623,0.708728551864624,0.711310863494873,0.002582311630249,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
Basketball_temporal/1986,Basketball_coarse,SVD_NRS,-0.23960065841674805,0.6156405806541443,0.8552412390708923,-0.05990016460418701,0.153910145163536,0.213810309767723,-0.07242673635482788,0.5580135583877563,0.6304402947425842,0.7062225103378297,0.711310863494873,0.0050883531570434,trials10train_r100test_r100AllTrue,trials10train_r100test_r100AllTrue
